timestamp,open,close,xbtusd_daily_change,ETHZ17_daily_btc,ETHZ17_daily_usd,ETHZ17_cumulative_btc
2017-09-17 00:00:00+00:00,3706.1,3697.0,-0.25,-2.31,-2.56,-2.31
2017-09-18 00:00:00+00:00,3697.0,3687.1,-0.27,1.67,1.4,-0.64
2017-09-20 00:00:00+00:00,4110.2,3883.8,-5.51,5.04,-0.47,4.4
2017-09-21 00:00:00+00:00,3883.8,3867.1,-0.43,-0.81,-1.24,3.59
2017-09-22 00:00:00+00:00,3867.1,3611.0,-6.62,-0.91,-7.53,2.68
2017-09-23 00:00:00+00:00,3611.0,3603.5,-0.21,1.8,1.59,4.48
2017-09-25 00:00:00+00:00,3778.9,3660.4,-3.14,0.0,-3.14,4.48
2017-09-27 00:00:00+00:00,3925.5,3874.0,-1.31,-2.33,-3.64,2.15
2017-09-29 00:00:00+00:00,4202.5,4187.9,-0.35,-1.83,-2.18,0.32
2017-09-30 00:00:00+00:00,4187.9,4164.8,-0.55,-4.8,-5.35,-4.48
2017-10-04 00:00:00+00:00,4388.0,4318.3,-1.59,-0.31,-1.9,-4.79
2017-10-05 00:00:00+00:00,4318.3,4213.3,-2.43,3.16,0.73,-1.63
2017-10-11 00:00:00+00:00,4798.8,4771.7,-0.56,0.54,-0.02,-1.09
2017-10-16 00:00:00+00:00,5872.1,5711.1,-2.74,5.1,2.36,4.01
2017-10-18 00:00:00+00:00,5795.0,5600.0,-3.36,-2.06,-5.42,1.95
2017-10-19 00:00:00+00:00,5600.0,5590.8,-0.16,-1.16,-1.32,0.79
2017-10-23 00:00:00+00:00,6018.7,5986.0,-0.54,-3.42,-3.96,-2.63
2017-10-24 00:00:00+00:00,5986.0,5853.9,-2.21,0.52,-1.69,-2.11
2017-10-25 00:00:00+00:00,5853.9,5517.4,-5.75,9.99,4.24,7.88
2017-10-28 00:00:00+00:00,5888.4,5769.3,-2.02,3.14,1.12,11.02
2017-10-29 00:00:00+00:00,5769.3,5727.1,-0.73,0.66,-0.07,11.68
2017-10-31 00:00:00+00:00,6159.3,6134.9,-0.4,3.46,3.06,15.14
2017-11-06 00:00:00+00:00,7393.9,7378.3,-0.21,-0.92,-1.13,14.22
2017-11-07 00:00:00+00:00,7378.3,6960.0,-5.67,8.68,3.01,22.9
2017-11-10 00:00:00+00:00,7465.0,7150.5,-4.21,9.89,5.68,32.79
2017-11-11 00:00:00+00:00,7150.5,6564.0,-8.2,0.08,-8.12,32.87
2017-11-12 00:00:00+00:00,6564.0,6345.5,-3.33,8.87,5.54,41.74
2017-11-13 00:00:00+00:00,6345.5,5846.5,-7.86,-0.78,-8.64,40.96
2017-11-18 00:00:00+00:00,7867.0,7674.0,-2.45,3.2,0.75,44.16
2017-11-22 00:00:00+00:00,8243.0,8098.5,-1.75,-0.53,-2.28,43.63
2017-11-24 00:00:00+00:00,8219.0,7988.5,-2.8,10.84,8.04,54.47
2017-11-30 00:00:00+00:00,9938.0,9869.5,-0.69,-9.34,-10.03,45.13
2017-12-09 00:00:00+00:00,17427.0,16272.0,-6.63,14.21,7.58,59.34
2017-12-10 00:00:00+00:00,16272.0,14984.5,-7.91,12.41,4.5,71.75
2017-12-14 00:00:00+00:00,17236.0,16436.5,-4.64,13.4,8.76,85.15
2017-12-18 00:00:00+00:00,19547.5,19287.5,-1.33,4.86,3.53,90.01
2017-12-19 00:00:00+00:00,19287.5,19127.0,-0.83,11.1,10.27,101.11
2017-12-20 00:00:00+00:00,19127.0,17663.0,-7.65,9.75,2.1,110.86
2017-12-21 00:00:00+00:00,17663.0,16463.0,-6.79,5.93,-0.86,116.79
2017-12-22 00:00:00+00:00,16463.0,15775.0,-4.18,4.68,0.5,121.47
2017-12-23 00:00:00+00:00,15775.0,13763.5,-12.75,-6.41,-19.16,115.06
2017-12-25 00:00:00+00:00,14719.5,14227.5,-3.34,1.31,-2.03,116.37
2017-12-26 00:00:00+00:00,14227.5,13989.5,-1.67,8.02,6.35,124.39
2017-12-28 00:00:00+00:00,15833.5,15380.5,-2.86,0.46,-2.4,124.85
2017-12-29 00:00:00+00:00,15380.5,14480.0,-5.85,4.62,-1.23,129.47
