timestamp,open,close,xbtusd_daily_change,ETHM19_daily_btc,ETHM19_daily_usd,ETHM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.73,-1.33,-0.73
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.81,-3.31,-2.54
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,0.58,0.54,-1.96
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.43,-0.76,-2.39
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,-0.17,-1.76,-2.56
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-0.66,-1.07,-3.22
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,0.03,-1.36,-3.19
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,-0.23,-2.15,-3.42
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-3.29,-8.61,-6.71
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,-0.45,-0.64,-7.16
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,-2.64,-5.28,-9.8
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-2.06,-2.52,-11.86
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,-1.72,-3.34,-13.58
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,-2.56,-8.45,-16.14
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-1.01,-1.16,-17.15
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-0.5,-0.74,-17.65
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,0.39,-0.54,-17.26
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,7.62,7.08,-9.64
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,0.59,-2.77,-9.05
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,10.74,6.85,1.69
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,-1.75,-8.5,-0.06
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-3.03,-4.3,-3.09
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,-0.78,-3.18,-3.87
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,1.75,1.12,-2.12
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-0.89,-5.1,-3.01
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,0.92,0.25,-2.09
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,-0.66,-1.3,-2.75
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-2.06,-6.57,-4.81
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,-0.03,-7.33,-4.84
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,1.93,-3.47,-2.91
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,-1.59,-2.47,-4.5
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,-1.8,-5.55,-6.3
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,0.39,-0.84,-5.91
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-0.68,-3.48,-6.59
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.73,-11.99,-4.86
