timestamp,open,close,xbtusd_daily_change,ETHM17_daily_btc,ETHM17_daily_usd,ETHM17_cumulative_btc
2017-04-29 00:00:00+00:00,1344.3,1339.7,-0.34,15.07,14.73,15.07
2017-05-06 00:00:00+00:00,1551.0,1529.6,-1.38,-7.75,-9.13,7.32
2017-05-13 00:00:00+00:00,1835.7,1692.3,-7.81,4.13,-3.68,11.45
2017-05-16 00:00:00+00:00,1804.2,1740.8,-3.51,3.85,0.34,15.3
2017-05-22 00:00:00+00:00,2053.8,2041.2,-0.61,26.19,25.58,41.49
2017-05-26 00:00:00+00:00,2431.6,2306.3,-5.15,-7.5,-12.65,33.99
2017-05-27 00:00:00+00:00,2306.3,2273.7,-1.41,-2.77,-4.18,31.22
2017-05-28 00:00:00+00:00,2273.7,2089.9,-8.08,4.42,-3.66,35.64
2017-05-31 00:00:00+00:00,2309.6,2191.4,-5.12,24.63,19.51,60.27
2017-06-05 00:00:00+00:00,2543.4,2529.3,-0.55,10.85,10.3,71.12
2017-06-08 00:00:00+00:00,2897.9,2667.6,-7.95,3.07,-4.88,74.19
2017-06-10 00:00:00+00:00,2817.7,2817.2,-0.02,8.69,8.67,82.88
2017-06-13 00:00:00+00:00,2994.8,2656.5,-11.3,34.43,23.13,117.31
2017-06-15 00:00:00+00:00,2702.6,2432.9,-9.98,-3.39,-13.37,113.92
2017-06-16 00:00:00+00:00,2432.9,2410.7,-0.91,2.62,1.71,116.54
2017-06-19 00:00:00+00:00,2626.3,2525.0,-3.86,0.48,-3.38,117.02
2017-06-22 00:00:00+00:00,2736.8,2652.7,-3.07,-4.68,-7.75,112.34
2017-06-24 00:00:00+00:00,2699.9,2678.9,-0.78,1.53,0.75,113.87
2017-06-25 00:00:00+00:00,2678.9,2559.5,-4.46,-2.89,-7.35,110.98
2017-06-26 00:00:00+00:00,2559.5,2507.9,-2.02,-6.15,-8.17,104.83
2017-06-27 00:00:00+00:00,2507.9,2420.1,-3.5,-6.06,-9.56,98.77
2017-06-30 00:00:00+00:00,2558.3,2532.7,-1.0,-4.63,-5.63,94.14
2017-07-01 00:00:00+00:00,2532.7,2453.4,-3.13,4.4,1.27,98.54
