timestamp,open,close,xbtusd_daily_change,ETHU17_daily_btc,ETHU17_daily_usd,ETHU17_cumulative_btc
2017-06-19 00:00:00+00:00,2626.3,2525.0,-3.86,-0.34,-4.2,-0.34
2017-06-22 00:00:00+00:00,2736.8,2652.7,-3.07,-6.49,-9.56,-6.83
2017-06-24 00:00:00+00:00,2699.9,2678.9,-0.78,1.49,0.71,-5.34
2017-06-25 00:00:00+00:00,2678.9,2559.5,-4.46,-3.07,-7.53,-8.41
2017-06-26 00:00:00+00:00,2559.5,2507.9,-2.02,-6.22,-8.24,-14.63
2017-06-27 00:00:00+00:00,2507.9,2420.1,-3.5,-4.99,-8.49,-19.62
2017-06-30 00:00:00+00:00,2558.3,2532.7,-1.0,-7.97,-8.97,-27.59
2017-07-01 00:00:00+00:00,2532.7,2453.4,-3.13,-1.92,-5.05,-29.51
2017-07-02 00:00:00+00:00,2453.4,2422.7,-1.25,-4.46,-5.71,-33.97
2017-07-08 00:00:00+00:00,2603.8,2505.1,-3.79,-6.23,-10.02,-40.2
2017-07-10 00:00:00+00:00,2554.4,2506.5,-1.88,-1.86,-3.74,-42.06
2017-07-11 00:00:00+00:00,2506.5,2335.2,-6.83,-7.5,-14.33,-49.56
2017-07-12 00:00:00+00:00,2335.2,2304.8,-1.3,-6.72,-8.02,-56.28
2017-07-14 00:00:00+00:00,2386.8,2338.1,-2.04,-6.32,-8.36,-62.6
2017-07-15 00:00:00+00:00,2338.1,2208.4,-5.55,2.81,-2.74,-59.79
2017-07-16 00:00:00+00:00,2208.4,1974.0,-10.61,-4.0,-14.61,-63.79
2017-07-17 00:00:00+00:00,1974.0,1924.5,-2.51,-3.43,-5.94,-67.22
2017-07-20 00:00:00+00:00,2303.0,2262.1,-1.78,-13.3,-15.08,-80.52
2017-07-22 00:00:00+00:00,2883.1,2666.0,-7.53,4.86,-2.67,-75.66
2017-07-24 00:00:00+00:00,2833.2,2752.8,-2.84,1.01,-1.83,-74.65
2017-07-26 00:00:00+00:00,2764.4,2559.6,-7.41,-2.64,-10.05,-77.29
2017-07-27 00:00:00+00:00,2559.6,2530.2,-1.15,2.49,1.34,-74.8
2017-07-30 00:00:00+00:00,2782.0,2692.5,-3.22,8.19,4.97,-66.61
2017-08-02 00:00:00+00:00,2851.1,2730.1,-4.24,18.13,13.89,-48.48
2017-08-03 00:00:00+00:00,2730.1,2706.9,-0.85,-2.36,-3.21,-50.84
2017-08-07 00:00:00+00:00,3257.8,3221.8,-1.11,5.58,4.47,-45.26
2017-08-10 00:00:00+00:00,3422.1,3341.2,-2.36,3.21,0.85,-42.05
2017-08-16 00:00:00+00:00,4328.5,4158.1,-3.94,-0.03,-3.97,-42.08
2017-08-18 00:00:00+00:00,4402.3,4278.3,-2.82,1.81,-1.01,-40.27
2017-08-19 00:00:00+00:00,4278.3,4101.1,-4.14,2.06,-2.08,-38.21
2017-08-21 00:00:00+00:00,4131.1,4049.4,-1.98,4.39,2.41,-33.82
2017-08-22 00:00:00+00:00,4049.4,3998.1,-1.27,12.68,11.41,-21.14
2017-08-27 00:00:00+00:00,4357.4,4334.9,-0.52,1.46,0.94,-19.68
2017-08-31 00:00:00+00:00,4591.8,4569.2,-0.49,3.31,2.82,-16.37
2017-09-03 00:00:00+00:00,4944.5,4633.1,-6.3,-5.76,-12.06,-22.13
2017-09-04 00:00:00+00:00,4633.1,4624.2,-0.19,0.23,0.04,-21.9
2017-09-05 00:00:00+00:00,4624.2,4339.9,-6.15,-8.23,-14.38,-30.13
2017-09-09 00:00:00+00:00,4613.9,4317.9,-6.42,-2.07,-8.49,-32.2
2017-09-11 00:00:00+00:00,4325.8,4239.5,-2.0,1.44,-0.56,-30.76
2017-09-12 00:00:00+00:00,4239.5,4207.0,-0.77,0.25,-0.52,-30.51
2017-09-13 00:00:00+00:00,4207.0,4148.8,-1.38,-0.44,-1.82,-30.95
2017-09-14 00:00:00+00:00,4148.8,3856.6,-7.04,0.47,-6.57,-30.48
2017-09-15 00:00:00+00:00,3856.6,3222.9,-16.43,-3.62,-20.05,-34.1
2017-09-17 00:00:00+00:00,3706.1,3697.0,-0.25,-1.69,-1.94,-35.79
2017-09-18 00:00:00+00:00,3697.0,3687.1,-0.27,1.73,1.46,-34.06
2017-09-20 00:00:00+00:00,4110.2,3883.8,-5.51,0.23,-5.28,-33.83
2017-09-21 00:00:00+00:00,3883.8,3867.1,-0.43,-0.82,-1.25,-34.65
2017-09-22 00:00:00+00:00,3867.1,3611.0,-6.62,-1.13,-7.75,-35.78
2017-09-23 00:00:00+00:00,3611.0,3603.5,-0.21,1.32,1.11,-34.46
2017-09-25 00:00:00+00:00,3778.9,3660.4,-3.14,2.42,-0.72,-32.04
2017-09-27 00:00:00+00:00,3925.5,3874.0,-1.31,-0.39,-1.7,-32.43
2017-09-29 00:00:00+00:00,4202.5,4187.9,-0.35,-2.95,-3.3,-35.38
2017-09-30 00:00:00+00:00,4187.9,4164.8,-0.55,-4.06,-4.61,-39.44
