timestamp,open,close,xbtusd_daily_change,ETHH19_daily_btc,ETHH19_daily_usd,ETHH19_cumulative_btc
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,0.43,-5.17,0.43
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,11.8,10.87,12.23
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,-1.36,-7.72,10.87
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-7.25,-12.99,3.62
2018-12-30 00:00:00+00:00,3889.5,3712.0,-4.56,1.96,-2.6,5.58
2019-01-01 00:00:00+00:00,3830.5,3693.0,-3.59,-1.64,-5.23,3.94
2019-01-04 00:00:00+00:00,3888.0,3784.0,-2.67,-2.33,-5.0,1.61
2019-01-06 00:00:00+00:00,3817.0,3794.5,-0.59,-0.89,-1.48,0.72
2019-01-08 00:00:00+00:00,4039.0,4005.0,-0.84,-1.84,-2.68,-1.12
2019-01-09 00:00:00+00:00,4005.0,3995.5,-0.24,-0.16,-0.4,-1.28
2019-01-11 00:00:00+00:00,4001.0,3622.0,-9.47,-6.9,-16.37,-8.18
2019-01-13 00:00:00+00:00,3631.5,3613.0,-0.51,-0.32,-0.83,-8.5
2019-01-14 00:00:00+00:00,3613.0,3513.0,-2.77,-5.09,-7.86,-13.59
2019-01-16 00:00:00+00:00,3663.0,3574.5,-2.42,-4.24,-6.66,-17.83
2019-01-19 00:00:00+00:00,3637.0,3606.0,-0.85,-1.69,-2.54,-19.52
2019-01-21 00:00:00+00:00,3681.5,3535.0,-3.98,-1.18,-5.16,-20.7
2019-01-22 00:00:00+00:00,3535.0,3529.5,-0.16,-1.16,-1.32,-21.86
2019-01-24 00:00:00+00:00,3578.0,3551.0,-0.75,-1.1,-1.85,-22.96
2019-01-26 00:00:00+00:00,3568.0,3560.5,-0.21,-0.84,-1.05,-23.8
2019-01-27 00:00:00+00:00,3560.5,3554.5,-0.17,0.16,-0.01,-23.64
2019-01-28 00:00:00+00:00,3554.5,3527.5,-0.76,-2.03,-2.79,-25.67
2019-01-29 00:00:00+00:00,3527.5,3428.0,-2.82,-3.12,-5.94,-28.79
2019-01-30 00:00:00+00:00,3428.0,3391.0,-1.08,0.0,-1.08,-28.79
2019-02-01 00:00:00+00:00,3434.0,3413.5,-0.6,-1.0,-1.6,-29.79
2019-02-04 00:00:00+00:00,3464.0,3414.0,-1.44,-1.25,-2.69,-31.04
2019-02-05 00:00:00+00:00,3414.0,3406.5,-0.22,0.26,0.04,-30.78
2019-02-07 00:00:00+00:00,3428.5,3365.5,-1.84,-0.97,-2.81,-31.75
2019-02-08 00:00:00+00:00,3365.5,3357.0,-0.25,0.16,-0.09,-31.59
2019-02-12 00:00:00+00:00,3648.0,3591.0,-1.56,-2.05,-3.61,-33.64
2019-02-13 00:00:00+00:00,3591.0,3587.5,-0.1,1.11,1.01,-32.53
2019-02-14 00:00:00+00:00,3587.5,3577.0,-0.29,0.06,-0.23,-32.47
2019-02-15 00:00:00+00:00,3577.0,3560.0,-0.48,-0.59,-1.07,-33.06
2019-02-22 00:00:00+00:00,3938.5,3897.5,-1.04,-1.48,-2.52,-34.54
2019-02-25 00:00:00+00:00,4111.5,3733.5,-9.19,-8.32,-17.51,-42.86
2019-02-27 00:00:00+00:00,3818.0,3797.0,-0.55,-0.72,-1.27,-43.58
2019-03-01 00:00:00+00:00,3798.0,3788.0,-0.26,0.48,0.22,-43.1
2019-03-04 00:00:00+00:00,3808.0,3785.5,-0.59,-1.15,-1.74,-44.25
2019-03-05 00:00:00+00:00,3785.5,3698.5,-2.3,-1.19,-3.49,-45.44
2019-03-09 00:00:00+00:00,3854.0,3840.0,-0.36,-2.09,-2.45,-47.53
2019-03-11 00:00:00+00:00,3916.0,3897.5,-0.47,-0.89,-1.36,-48.42
2019-03-12 00:00:00+00:00,3897.5,3845.0,-1.35,-0.81,-2.16,-49.23
2019-03-14 00:00:00+00:00,3857.5,3849.5,-0.21,-1.04,-1.25,-50.27
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.93,-1.53,-51.2
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.45,-2.95,-52.65
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,0.26,0.22,-52.39
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.5,-0.83,-52.89
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,0.03,-1.56,-52.86
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-1.1,-1.51,-53.96
