timestamp,open,close,xbtusd_daily_change,ETHZ19_daily_btc,ETHZ19_daily_usd,ETHZ19_cumulative_btc
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,-12.95,-13.56,-12.95
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,4.71,4.65,-8.24
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,0.27,-0.21,-7.97
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,5.25,4.8,-2.72
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,5.25,4.44,2.53
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,1.88,1.67,4.41
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-0.88,-1.92,3.53
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,0.89,-1.08,4.42
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-1.48,-4.87,2.94
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-6.04,-17.94,-3.1
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,3.19,1.98,0.09
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,2.54,-1.92,2.63
2019-09-30 00:00:00+00:00,8207.0,8054.0,-1.86,0.19,-1.67,2.82
2019-10-04 00:00:00+00:00,8377.5,8240.5,-1.64,-1.8,-3.44,1.02
2019-10-05 00:00:00+00:00,8240.5,8154.5,-1.04,1.88,0.84,2.9
2019-10-06 00:00:00+00:00,8154.5,8146.5,-0.1,0.37,0.27,3.27
2019-10-07 00:00:00+00:00,8146.5,7861.0,-3.5,-0.05,-3.55,3.22
2019-10-09 00:00:00+00:00,8208.0,8180.0,-0.34,0.23,-0.11,3.45
2019-10-11 00:00:00+00:00,8587.5,8586.5,-0.01,-1.23,-1.24,2.22
2019-10-12 00:00:00+00:00,8586.5,8266.0,-3.73,-3.12,-6.85,-0.9
2019-10-14 00:00:00+00:00,8305.0,8278.0,-0.33,1.25,0.92,0.35
2019-10-16 00:00:00+00:00,8358.0,8156.0,-2.42,-1.7,-4.12,-1.35
2019-10-17 00:00:00+00:00,8156.0,7995.5,-1.97,-1.23,-3.2,-2.58
2019-10-19 00:00:00+00:00,8070.5,7951.0,-1.48,-0.64,-2.12,-3.22
2019-10-22 00:00:00+00:00,8233.0,8204.5,-0.35,-0.75,-1.1,-3.97
2019-10-23 00:00:00+00:00,8204.5,8019.0,-2.26,0.71,-1.55,-3.26
2019-10-24 00:00:00+00:00,8019.0,7468.0,-6.87,2.31,-4.56,-0.95
2019-10-25 00:00:00+00:00,7468.0,7424.0,-0.59,-0.41,-1.0,-1.36
2019-10-29 00:00:00+00:00,9556.0,9226.0,-3.45,1.76,-1.69,0.4
2019-10-31 00:00:00+00:00,9438.0,9165.0,-2.89,-1.68,-4.57,-1.28
2019-11-01 00:00:00+00:00,9165.0,9153.5,-0.13,-0.05,-0.18,-1.33
2019-11-04 00:00:00+00:00,9313.5,9205.5,-1.16,0.46,-0.7,-0.87
2019-11-06 00:00:00+00:00,9426.5,9317.0,-1.16,2.43,1.27,1.56
2019-11-08 00:00:00+00:00,9347.0,9213.0,-1.43,-0.88,-2.31,0.68
2019-11-09 00:00:00+00:00,9213.0,8765.0,-4.86,3.67,-1.19,4.35
2019-11-12 00:00:00+00:00,9038.5,8717.5,-3.55,1.25,-2.3,5.6
2019-11-14 00:00:00+00:00,8818.0,8764.0,-0.61,0.99,0.38,6.59
2019-11-15 00:00:00+00:00,8764.0,8630.5,-1.52,-0.61,-2.13,5.98
