timestamp,open,close,xbtusd_daily_change,ETHZ19_daily_btc,ETHZ19_daily_usd,ETHZ19_cumulative_btc
2019-11-16 00:00:00+00:00,8630.5,8456.0,-2.02,-0.61,-2.63,5.37
2019-11-19 00:00:00+00:00,8506.0,8173.5,-3.91,0.7,-3.21,6.07
2019-11-20 00:00:00+00:00,8173.5,8123.0,-0.62,-0.6,-1.22,5.47
2019-11-21 00:00:00+00:00,8123.0,8080.0,-0.53,-0.14,-0.67,5.33
2019-11-22 00:00:00+00:00,8080.0,7614.0,-5.77,-2.64,-8.41,2.69
2019-11-23 00:00:00+00:00,7614.0,7275.5,-4.45,-2.19,-6.64,0.5
2019-11-25 00:00:00+00:00,7322.5,6902.5,-5.74,-2.88,-8.62,-2.38
2019-11-29 00:00:00+00:00,7525.0,7424.5,-1.34,0.1,-1.24,-2.28
2019-12-01 00:00:00+00:00,7749.0,7549.5,-2.57,0.75,-1.82,-1.53
2019-12-02 00:00:00+00:00,7549.5,7399.0,-1.99,1.6,-0.39,0.07
2019-12-03 00:00:00+00:00,7399.0,7300.5,-1.33,-0.1,-1.43,-0.03
2019-12-04 00:00:00+00:00,7300.5,7294.5,-0.08,-0.98,-1.06,-1.01
2019-12-05 00:00:00+00:00,7294.5,7192.5,-1.4,0.2,-1.2,-0.81
2019-12-08 00:00:00+00:00,7538.5,7501.5,-0.49,-0.3,-0.79,-1.11
2019-12-10 00:00:00+00:00,7512.5,7332.5,-2.4,0.1,-2.3,-1.01
2019-12-11 00:00:00+00:00,7332.5,7218.0,-1.56,0.3,-1.26,-0.71
2019-12-12 00:00:00+00:00,7218.0,7196.5,-0.3,-1.29,-1.59,-2.0
2019-12-13 00:00:00+00:00,7196.5,7187.0,-0.13,1.36,1.23,-0.64
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.55,-1.96,-0.09
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-4.29,-7.59,-4.38
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-4.27,-8.07,-8.65
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,-1.75,-3.66,-10.4
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-0.39,-1.04,-10.79
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,-1.08,-3.71,-11.87
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,0.86,0.0,-11.01
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-1.31,-2.06,-12.32
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,0.46,0.4,-11.86
