timestamp,open,close,xbtusd_daily_change,ETHU18_daily_btc,ETHU18_daily_usd,ETHU18_cumulative_btc
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-1.66,-2.25,-1.66
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-3.24,-13.11,-4.9
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-3.52,-3.76,-8.42
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-4.03,-6.87,-12.45
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-0.14,-4.78,-12.59
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,0.25,-0.34,-12.34
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,-1.54,-3.12,-13.88
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,0.76,-0.08,-13.12
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,0.65,-0.17,-12.47
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-1.59,-2.08,-14.06
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-3.44,-8.9,-17.5
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-1.0,-2.95,-18.5
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,0.98,0.44,-17.52
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-2.67,-4.46,-20.19
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,-0.85,-0.98,-21.04
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,1.65,-0.9,-19.39
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,0.44,-2.68,-18.95
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,-0.34,-0.47,-19.29
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-2.26,-2.8,-21.55
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,0.18,-5.29,-21.37
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,-1.74,-3.33,-23.11
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-0.61,-1.46,-23.72
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,3.53,1.83,-20.19
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,2.66,-2.81,-17.53
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,0.35,-0.9,-17.18
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-4.31,-7.48,-21.49
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,0.11,-6.41,-21.38
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-3.44,-9.53,-24.82
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-9.88,-10.88,-34.7
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,-0.81,-1.64,-35.51
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-5.16,-7.96,-40.67
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-6.2,-9.8,-46.87
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-2.23,-4.01,-49.1
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,-1.04,-1.43,-50.14
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,-2.14,-2.76,-52.28
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-1.73,-2.52,-54.01
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-1.35,-1.84,-55.36
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-12.42,-21.48,-67.78
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,3.78,0.76,-64.0
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-5.25,-6.62,-69.25
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-5.24,-8.64,-74.49
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-5.7,-6.04,-80.19
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,-0.15,-0.3,-80.34
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,-0.67,-1.02,-81.01
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-7.46,-11.25,-88.47
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-2.44,-3.0,-90.91
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,1.95,1.86,-88.96
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-5.16,-7.02,-94.12
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,-1.67,-3.94,-95.79
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-1.52,-2.5,-97.31
