timestamp,open,close,xbtusd_daily_change,LTCU18_daily_btc,LTCU18_daily_usd,LTCU18_cumulative_btc
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-0.68,-1.27,-0.68
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-3.55,-13.42,-4.23
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-1.85,-2.09,-6.08
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-4.9,-7.74,-10.98
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-3.93,-8.57,-14.91
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,-1.01,-1.6,-15.92
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,1.07,-0.51,-14.85
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,-2.35,-3.19,-17.2
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,-2.19,-3.01,-19.39
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-1.76,-2.25,-21.15
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-0.82,-6.28,-21.97
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-0.32,-2.27,-22.29
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,0.08,-0.46,-22.21
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-3.17,-4.96,-25.38
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,-0.96,-1.09,-26.34
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,-0.28,-2.83,-26.62
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,-0.37,-3.49,-26.99
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,0.0,-0.13,-26.99
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-2.02,-2.56,-29.01
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,2.06,-3.41,-26.95
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,-0.29,-1.88,-27.24
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-1.25,-2.1,-28.49
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,4.58,2.88,-23.91
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,-1.58,-7.05,-25.49
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,-0.09,-1.34,-25.58
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-5.95,-9.12,-31.53
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,-1.98,-8.5,-33.51
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-0.82,-6.91,-34.33
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-3.83,-4.83,-38.16
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,-2.21,-3.04,-40.37
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-5.51,-8.31,-45.88
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-4.78,-8.38,-50.66
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-1.03,-2.81,-51.69
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,-1.16,-1.55,-52.85
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,-2.32,-2.94,-55.17
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-1.69,-2.48,-56.86
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-1.09,-1.58,-57.95
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-6.28,-15.34,-64.23
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,2.2,-0.82,-62.03
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-1.24,-2.61,-63.27
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-2.29,-5.69,-65.56
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-4.53,-4.87,-70.09
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,4.07,3.92,-66.02
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,1.16,0.81,-64.86
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-4.8,-8.59,-69.66
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,0.77,0.21,-68.89
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,-0.11,-0.2,-69.0
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-3.29,-5.15,-72.29
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,1.36,-0.91,-70.93
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-2.01,-2.99,-72.94
