timestamp,open,close,xbtusd_daily_change,LTCM18_daily_btc,LTCM18_daily_usd,LTCM18_cumulative_btc
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-6.0,-16.75,-6.0
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,5.41,1.71,-0.59
2018-04-02 00:00:00+00:00,6920.5,6817.0,-1.5,1.07,-0.43,0.48
2018-04-05 00:00:00+00:00,7408.5,6779.0,-8.5,-3.42,-11.92,-2.94
2018-04-06 00:00:00+00:00,6779.0,6769.5,-0.14,-0.11,-0.25,-3.05
2018-04-07 00:00:00+00:00,6769.5,6612.0,-2.33,-2.17,-4.5,-5.22
2018-04-10 00:00:00+00:00,7014.0,6763.0,-3.58,1.67,-1.91,-3.55
2018-04-14 00:00:00+00:00,7904.5,7887.5,-0.22,-2.73,-2.95,-6.28
2018-04-17 00:00:00+00:00,8346.5,8047.0,-3.59,1.1,-2.49,-5.18
2018-04-18 00:00:00+00:00,8047.0,7889.5,-1.96,4.42,2.46,-0.76
2018-04-23 00:00:00+00:00,8923.5,8800.0,-1.38,0.4,-0.98,-0.36
2018-04-26 00:00:00+00:00,9675.0,8846.5,-8.56,-3.99,-12.55,-4.35
2018-04-28 00:00:00+00:00,9288.0,8928.0,-3.88,-2.4,-6.28,-6.75
2018-05-01 00:00:00+00:00,9400.5,9250.0,-1.6,-1.47,-3.07,-8.22
2018-05-02 00:00:00+00:00,9250.0,9066.0,-1.99,1.01,-0.98,-7.21
2018-05-05 00:00:00+00:00,9741.5,9683.0,-0.6,7.47,6.87,0.26
2018-05-07 00:00:00+00:00,9828.5,9600.5,-2.32,-3.98,-6.3,-3.72
2018-05-08 00:00:00+00:00,9600.5,9359.5,-2.51,-2.23,-4.74,-5.95
2018-05-09 00:00:00+00:00,9359.5,9190.5,-1.81,-2.81,-4.62,-8.76
2018-05-11 00:00:00+00:00,9305.5,9027.5,-2.99,-4.07,-7.06,-12.83
2018-05-12 00:00:00+00:00,9027.5,8413.0,-6.81,-2.85,-9.66,-15.68
2018-05-15 00:00:00+00:00,8693.5,8678.0,-0.18,1.49,1.31,-14.19
2018-05-16 00:00:00+00:00,8678.0,8476.5,-2.32,-3.84,-6.16,-18.03
2018-05-17 00:00:00+00:00,8476.5,8334.5,-1.68,1.06,-0.62,-16.97
2018-05-18 00:00:00+00:00,8334.5,8058.5,-3.31,-1.75,-5.06,-18.72
2018-05-20 00:00:00+00:00,8233.0,8230.0,-0.04,-0.47,-0.51,-19.19
2018-05-22 00:00:00+00:00,8521.5,8397.0,-1.46,-2.55,-4.01,-21.74
2018-05-23 00:00:00+00:00,8397.0,7989.0,-4.86,-0.85,-5.71,-22.59
2018-05-24 00:00:00+00:00,7989.0,7506.0,-6.05,-2.82,-8.87,-25.41
2018-05-26 00:00:00+00:00,7568.0,7464.5,-1.37,-1.41,-2.78,-26.82
2018-05-27 00:00:00+00:00,7464.5,7323.0,-1.9,0.93,-0.97,-25.89
2018-05-29 00:00:00+00:00,7336.5,7111.0,-3.07,-3.64,-6.71,-29.53
2018-05-31 00:00:00+00:00,7469.0,7372.0,-1.3,-0.25,-1.55,-29.78
2018-06-05 00:00:00+00:00,7709.0,7492.0,-2.81,-1.7,-4.51,-31.48
2018-06-09 00:00:00+00:00,7689.0,7625.0,-0.83,-0.31,-1.14,-31.79
2018-06-10 00:00:00+00:00,7625.0,7492.0,-1.74,-0.94,-2.68,-32.73
2018-06-11 00:00:00+00:00,7492.0,6767.0,-9.68,-0.76,-10.44,-33.49
2018-06-13 00:00:00+00:00,6870.5,6553.5,-4.61,-1.86,-6.47,-35.35
2018-06-14 00:00:00+00:00,6553.5,6296.5,-3.92,-2.74,-6.66,-38.09
2018-06-16 00:00:00+00:00,6631.0,6395.0,-3.56,-1.06,-4.62,-39.15
2018-06-18 00:00:00+00:00,6488.5,6443.0,-0.7,-0.81,-1.51,-39.96
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-0.89,-1.48,-40.85
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-3.11,-12.98,-43.96
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-3.03,-3.27,-46.99
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-4.64,-7.48,-51.63
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-3.81,-8.45,-55.44
