timestamp,open,close,xbtusd_daily_change,LTCH18_daily_btc,LTCH18_daily_usd,LTCH18_cumulative_btc
2017-12-18 00:00:00+00:00,19547.5,19287.5,-1.33,2.12,0.79,2.12
2017-12-19 00:00:00+00:00,19287.5,19127.0,-0.83,15.26,14.43,17.38
2017-12-20 00:00:00+00:00,19127.0,17663.0,-7.65,3.5,-4.15,20.88
2017-12-21 00:00:00+00:00,17663.0,16463.0,-6.79,-4.33,-11.12,16.55
2017-12-22 00:00:00+00:00,16463.0,15775.0,-4.18,6.4,2.22,22.95
2017-12-23 00:00:00+00:00,15775.0,13763.5,-12.75,-6.99,-19.74,15.96
2017-12-25 00:00:00+00:00,14719.5,14227.5,-3.34,2.36,-0.98,18.32
2017-12-26 00:00:00+00:00,14227.5,13989.5,-1.67,-1.1,-2.77,17.22
2017-12-28 00:00:00+00:00,15833.5,15380.5,-2.86,-3.19,-6.05,14.03
2017-12-29 00:00:00+00:00,15380.5,14480.0,-5.85,0.23,-5.62,14.26
2017-12-31 00:00:00+00:00,14539.5,12673.5,-12.83,-2.25,-15.08,12.01
2018-01-02 00:00:00+00:00,13873.0,13477.0,-2.85,1.12,-1.73,13.13
2018-01-08 00:00:00+00:00,17210.0,16224.5,-5.73,2.14,-3.59,15.27
2018-01-09 00:00:00+00:00,16224.5,14952.5,-7.84,0.23,-7.61,15.5
2018-01-10 00:00:00+00:00,14952.5,14465.0,-3.26,-0.17,-3.43,15.33
2018-01-12 00:00:00+00:00,14963.5,13287.5,-11.2,-0.3,-11.5,15.03
2018-01-15 00:00:00+00:00,14209.0,13645.0,-3.97,-5.62,-9.59,9.41
2018-01-16 00:00:00+00:00,13645.0,13621.0,-0.18,-0.75,-0.93,8.66
2018-01-17 00:00:00+00:00,13621.0,11330.0,-16.82,-4.42,-21.24,4.24
2018-01-18 00:00:00+00:00,11330.0,11210.0,-1.06,2.38,1.32,6.62
2018-01-22 00:00:00+00:00,12746.5,11560.0,-9.31,0.3,-9.01,6.92
2018-01-23 00:00:00+00:00,11560.0,10792.5,-6.64,-0.12,-6.76,6.8
2018-01-26 00:00:00+00:00,11394.5,11117.0,-2.44,1.12,-1.32,7.92
2018-01-27 00:00:00+00:00,11117.0,11110.0,-0.06,-1.36,-1.42,6.56
2018-01-30 00:00:00+00:00,11631.5,11127.0,-4.34,-2.31,-6.65,4.25
2018-01-31 00:00:00+00:00,11127.0,9999.0,-10.14,0.0,-10.14,4.25
2018-02-02 00:00:00+00:00,10132.0,9008.0,-11.09,-3.03,-14.12,1.22
2018-02-03 00:00:00+00:00,9008.0,8807.5,-2.23,-5.42,-7.65,-4.2
2018-02-05 00:00:00+00:00,9226.5,8151.0,-11.66,0.57,-11.09,-3.63
2018-02-06 00:00:00+00:00,8151.0,6889.5,-15.48,4.16,-11.32,0.53
2018-02-08 00:00:00+00:00,7674.5,7598.5,-0.99,-1.72,-2.71,-1.19
2018-02-11 00:00:00+00:00,8675.5,8548.5,-1.46,-3.65,-5.11,-4.84
2018-02-12 00:00:00+00:00,8548.5,8065.0,-5.66,1.54,-4.12,-3.3
2018-02-14 00:00:00+00:00,8905.5,8499.5,-4.56,3.13,-1.43,-0.17
2018-02-19 00:00:00+00:00,11144.0,10402.0,-6.66,-2.35,-9.01,-2.52
2018-02-22 00:00:00+00:00,11220.0,10455.0,-6.82,-1.13,-7.95,-3.65
2018-02-23 00:00:00+00:00,10455.0,9831.5,-5.96,-2.53,-8.49,-6.18
2018-02-25 00:00:00+00:00,10130.5,9689.0,-4.36,4.93,0.57,-1.25
2018-02-26 00:00:00+00:00,9689.0,9591.0,-1.01,6.0,4.99,4.75
2018-03-01 00:00:00+00:00,10530.0,10319.0,-2.0,-2.89,-4.89,1.86
2018-03-06 00:00:00+00:00,11490.5,11330.5,-1.39,-1.33,-2.72,0.53
2018-03-07 00:00:00+00:00,11330.5,10730.0,-5.3,-0.27,-5.57,0.26
2018-03-08 00:00:00+00:00,10730.0,9913.5,-7.61,1.9,-5.71,2.16
2018-03-09 00:00:00+00:00,9913.5,9304.5,-6.14,0.58,-5.56,2.74
2018-03-10 00:00:00+00:00,9304.5,9224.0,-0.87,6.24,5.37,8.98
2018-03-11 00:00:00+00:00,9224.0,8789.5,-4.71,0.2,-4.51,9.18
2018-03-13 00:00:00+00:00,9543.0,9093.0,-4.72,-0.86,-5.58,8.32
2018-03-15 00:00:00+00:00,9133.5,8190.5,-10.32,2.29,-8.03,10.61
2018-03-18 00:00:00+00:00,8250.5,7849.0,-4.87,-3.84,-8.71,6.77
2018-03-22 00:00:00+00:00,8897.0,8893.5,-0.04,0.64,0.6,7.41
2018-03-23 00:00:00+00:00,8893.5,8700.0,-2.18,-0.84,-3.02,6.57
2018-03-25 00:00:00+00:00,8921.0,8512.0,-4.58,-1.79,-6.37,4.78
2018-03-26 00:00:00+00:00,8512.0,8444.5,-0.79,1.45,0.66,6.23
2018-03-27 00:00:00+00:00,8444.5,8150.0,-3.49,-3.91,-7.4,2.32
2018-03-28 00:00:00+00:00,8150.0,7791.0,-4.4,-4.95,-9.35,-2.63
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-1.33,-12.08,-3.96
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,3.37,-0.33,-0.59
