timestamp,open,close,xbtusd_daily_change,LTCZ18_daily_btc,LTCZ18_daily_usd,LTCZ18_cumulative_btc
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,0.11,-0.45,0.11
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,1.43,1.34,1.54
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-4.33,-6.19,-2.79
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,1.7,-0.57,-1.09
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-1.14,-2.12,-2.23
2018-09-30 00:00:00+00:00,6620.0,6581.5,-0.58,-0.1,-0.68,-2.33
2018-10-02 00:00:00+00:00,6598.5,6571.0,-0.42,-0.64,-1.06,-2.97
2018-10-03 00:00:00+00:00,6571.0,6502.5,-1.04,-0.21,-1.25,-3.18
2018-10-04 00:00:00+00:00,6502.5,6465.0,-0.58,-3.75,-4.33,-6.93
2018-10-07 00:00:00+00:00,6582.0,6552.0,-0.46,-1.77,-2.23,-8.7
2018-10-10 00:00:00+00:00,6607.5,6591.0,-0.25,-1.1,-1.35,-9.8
2018-10-11 00:00:00+00:00,6591.0,6530.0,-0.93,-0.44,-1.37,-10.24
2018-10-12 00:00:00+00:00,6530.0,6154.5,-5.75,-8.7,-14.45,-18.94
2018-10-15 00:00:00+00:00,6193.5,6181.5,-0.19,-2.58,-2.77,-21.52
2018-10-18 00:00:00+00:00,6456.0,6438.5,-0.27,-0.24,-0.51,-21.76
2018-10-19 00:00:00+00:00,6438.5,6394.5,-0.68,-1.69,-2.37,-23.45
2018-10-20 00:00:00+00:00,6394.5,6384.0,-0.16,1.23,1.07,-22.22
2018-10-23 00:00:00+00:00,6413.0,6412.5,-0.01,-0.49,-0.5,-22.71
2018-10-24 00:00:00+00:00,6412.5,6395.0,-0.27,0.98,0.71,-21.73
2018-10-26 00:00:00+00:00,6412.5,6393.5,-0.3,0.25,-0.05,-21.48
2018-10-30 00:00:00+00:00,6408.0,6266.5,-2.21,-3.81,-6.02,-25.29
2018-11-04 00:00:00+00:00,6346.0,6332.5,-0.21,-0.49,-0.7,-25.78
2018-11-06 00:00:00+00:00,6427.5,6404.0,-0.37,-0.59,-0.96,-26.37
2018-11-09 00:00:00+00:00,6510.5,6414.0,-1.48,-2.13,-3.61,-28.5
2018-11-10 00:00:00+00:00,6414.0,6338.5,-1.18,-0.12,-1.3,-28.62
2018-11-13 00:00:00+00:00,6361.0,6337.5,-0.37,-0.49,-0.86,-29.11
2018-11-14 00:00:00+00:00,6337.5,6249.0,-1.4,-2.24,-3.64,-31.35
2018-11-15 00:00:00+00:00,6249.0,5586.0,-10.61,-3.56,-14.17,-34.91
2018-11-16 00:00:00+00:00,5586.0,5581.0,-0.09,1.45,1.36,-33.46
2018-11-17 00:00:00+00:00,5581.0,5511.0,-1.25,-2.34,-3.59,-35.8
2018-11-18 00:00:00+00:00,5511.0,5501.5,-0.17,-0.8,-0.97,-36.6
2018-11-20 00:00:00+00:00,5556.0,4743.0,-14.63,0.0,-14.63,-36.6
2018-11-21 00:00:00+00:00,4743.0,4348.5,-8.32,-1.88,-10.2,-38.48
2018-11-23 00:00:00+00:00,4537.0,4266.5,-5.96,-2.42,-8.38,-40.9
2018-11-25 00:00:00+00:00,4283.0,3768.5,-12.01,0.55,-11.46,-40.35
2018-11-27 00:00:00+00:00,3930.5,3724.5,-5.24,1.83,-3.41,-38.52
2018-12-01 00:00:00+00:00,4242.0,3972.0,-6.36,0.89,-5.47,-37.63
2018-12-03 00:00:00+00:00,4136.5,4096.5,-0.97,-0.37,-1.34,-38.0
2018-12-04 00:00:00+00:00,4096.5,3829.5,-6.52,-2.48,-9.0,-40.48
2018-12-06 00:00:00+00:00,3902.0,3695.5,-5.29,-1.29,-6.58,-41.77
2018-12-07 00:00:00+00:00,3695.5,3430.5,-7.17,-2.22,-9.39,-43.99
2018-12-08 00:00:00+00:00,3430.5,3369.0,-1.79,-4.27,-6.06,-48.26
2018-12-11 00:00:00+00:00,3526.5,3406.0,-3.42,-1.97,-5.39,-50.23
2018-12-12 00:00:00+00:00,3406.0,3344.0,-1.82,-1.87,-3.69,-52.1
2018-12-14 00:00:00+00:00,3431.5,3257.5,-5.07,-0.43,-5.5,-52.53
2018-12-15 00:00:00+00:00,3257.5,3193.0,-1.98,3.48,1.5,-49.05
2018-12-16 00:00:00+00:00,3193.0,3183.0,-0.31,1.96,1.65,-47.09
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,-1.01,-6.61,-48.1
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,5.69,4.76,-42.41
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,-0.37,-6.73,-42.78
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-2.88,-8.62,-45.66
