timestamp,open,close,xbtusd_daily_change,LTCM17_daily_btc,LTCM17_daily_usd,LTCM17_cumulative_btc
2017-04-29 00:00:00+00:00,1344.3,1339.7,-0.34,-0.08,-0.42,-0.08
2017-05-06 00:00:00+00:00,1551.0,1529.6,-1.38,6.43,5.05,6.35
2017-05-13 00:00:00+00:00,1835.7,1692.3,-7.81,-7.48,-15.29,-1.13
2017-05-16 00:00:00+00:00,1804.2,1740.8,-3.51,-8.08,-11.59,-9.21
2017-05-22 00:00:00+00:00,2053.8,2041.2,-0.61,-2.11,-2.72,-11.32
2017-05-26 00:00:00+00:00,2431.6,2306.3,-5.15,-16.14,-21.29,-27.46
2017-05-27 00:00:00+00:00,2306.3,2273.7,-1.41,-5.91,-7.32,-33.37
2017-05-28 00:00:00+00:00,2273.7,2089.9,-8.08,-3.31,-11.39,-36.68
2017-05-31 00:00:00+00:00,2309.6,2191.4,-5.12,-8.27,-13.39,-44.95
2017-06-05 00:00:00+00:00,2543.4,2529.3,-0.55,2.53,1.98,-42.42
2017-06-08 00:00:00+00:00,2897.9,2667.6,-7.95,2.31,-5.64,-40.11
2017-06-10 00:00:00+00:00,2817.7,2817.2,-0.02,-2.97,-2.99,-43.08
2017-06-13 00:00:00+00:00,2994.8,2656.5,-11.3,-8.51,-19.81,-51.59
2017-06-15 00:00:00+00:00,2702.6,2432.9,-9.98,4.82,-5.16,-46.77
2017-06-16 00:00:00+00:00,2432.9,2410.7,-0.91,1.89,0.98,-44.88
2017-06-19 00:00:00+00:00,2626.3,2525.0,-3.86,1.63,-2.23,-43.25
2017-06-22 00:00:00+00:00,2736.8,2652.7,-3.07,-1.0,-4.07,-44.25
2017-06-24 00:00:00+00:00,2699.9,2678.9,-0.78,-0.86,-1.64,-45.11
2017-06-25 00:00:00+00:00,2678.9,2559.5,-4.46,-2.08,-6.54,-47.19
2017-06-26 00:00:00+00:00,2559.5,2507.9,-2.02,-3.54,-5.56,-50.73
2017-06-27 00:00:00+00:00,2507.9,2420.1,-3.5,-2.63,-6.13,-53.36
2017-06-30 00:00:00+00:00,2558.3,2532.7,-1.0,-1.62,-2.62,-54.98
2017-07-01 00:00:00+00:00,2532.7,2453.4,-3.13,1.58,-1.55,-53.4
