timestamp,open,close,xbtusd_daily_change,LTCU17_daily_btc,LTCU17_daily_usd,LTCU17_cumulative_btc
2017-06-19 00:00:00+00:00,2626.3,2525.0,-3.86,-4.95,-8.81,-4.95
2017-06-22 00:00:00+00:00,2736.8,2652.7,-3.07,-0.68,-3.75,-5.63
2017-06-24 00:00:00+00:00,2699.9,2678.9,-0.78,3.56,2.78,-2.07
2017-06-25 00:00:00+00:00,2678.9,2559.5,-4.46,-6.35,-10.81,-8.42
2017-06-26 00:00:00+00:00,2559.5,2507.9,-2.02,-0.72,-2.74,-9.14
2017-06-27 00:00:00+00:00,2507.9,2420.1,-3.5,-9.46,-12.96,-18.6
2017-06-30 00:00:00+00:00,2558.3,2532.7,-1.0,-0.12,-1.12,-18.72
2017-07-01 00:00:00+00:00,2532.7,2453.4,-3.13,0.0,-3.13,-18.72
2017-07-02 00:00:00+00:00,2453.4,2422.7,-1.25,-2.19,-3.44,-20.91
2017-07-08 00:00:00+00:00,2603.8,2505.1,-3.79,-6.92,-10.71,-27.83
2017-07-10 00:00:00+00:00,2554.4,2506.5,-1.88,-3.35,-5.23,-31.18
2017-07-11 00:00:00+00:00,2506.5,2335.2,-6.83,-4.69,-11.52,-35.87
2017-07-12 00:00:00+00:00,2335.2,2304.8,-1.3,2.46,1.16,-33.41
2017-07-14 00:00:00+00:00,2386.8,2338.1,-2.04,-2.81,-4.85,-36.22
2017-07-15 00:00:00+00:00,2338.1,2208.4,-5.55,-1.47,-7.02,-37.69
2017-07-16 00:00:00+00:00,2208.4,1974.0,-10.61,-0.9,-11.51,-38.59
2017-07-17 00:00:00+00:00,1974.0,1924.5,-2.51,12.65,10.14,-25.94
2017-07-20 00:00:00+00:00,2303.0,2262.1,-1.78,-7.49,-9.27,-33.43
2017-07-22 00:00:00+00:00,2883.1,2666.0,-7.53,8.1,0.57,-25.33
2017-07-24 00:00:00+00:00,2833.2,2752.8,-2.84,0.9,-1.94,-24.43
2017-07-26 00:00:00+00:00,2764.4,2559.6,-7.41,0.06,-7.35,-24.37
2017-07-27 00:00:00+00:00,2559.6,2530.2,-1.15,4.21,3.06,-20.16
2017-07-30 00:00:00+00:00,2782.0,2692.5,-3.22,1.97,-1.25,-18.19
2017-08-02 00:00:00+00:00,2851.1,2730.1,-4.24,5.54,1.3,-12.65
2017-08-03 00:00:00+00:00,2730.1,2706.9,-0.85,-7.09,-7.94,-19.74
2017-08-07 00:00:00+00:00,3257.8,3221.8,-1.11,1.08,-0.03,-18.66
2017-08-10 00:00:00+00:00,3422.1,3341.2,-2.36,-2.79,-5.15,-21.45
2017-08-16 00:00:00+00:00,4328.5,4158.1,-3.94,-4.82,-8.76,-26.27
2017-08-18 00:00:00+00:00,4402.3,4278.3,-2.82,2.67,-0.15,-23.6
2017-08-19 00:00:00+00:00,4278.3,4101.1,-4.14,8.0,3.86,-15.6
2017-08-21 00:00:00+00:00,4131.1,4049.4,-1.98,4.47,2.49,-11.13
2017-08-22 00:00:00+00:00,4049.4,3998.1,-1.27,7.54,6.27,-3.59
2017-08-27 00:00:00+00:00,4357.4,4334.9,-0.52,1.18,0.66,-2.41
2017-08-31 00:00:00+00:00,4591.8,4569.2,-0.49,2.18,1.69,-0.23
2017-09-03 00:00:00+00:00,4944.5,4633.1,-6.3,-3.75,-10.05,-3.98
2017-09-04 00:00:00+00:00,4633.1,4624.2,-0.19,-0.46,-0.65,-4.44
2017-09-05 00:00:00+00:00,4624.2,4339.9,-6.15,-7.99,-14.14,-12.43
2017-09-09 00:00:00+00:00,4613.9,4317.9,-6.42,-3.44,-9.86,-15.87
2017-09-11 00:00:00+00:00,4325.8,4239.5,-2.0,-4.33,-6.33,-20.2
2017-09-12 00:00:00+00:00,4239.5,4207.0,-0.77,2.14,1.37,-18.06
2017-09-13 00:00:00+00:00,4207.0,4148.8,-1.38,-2.28,-3.66,-20.34
2017-09-14 00:00:00+00:00,4148.8,3856.6,-7.04,-0.13,-7.17,-20.47
2017-09-15 00:00:00+00:00,3856.6,3222.9,-16.43,-12.11,-28.54,-32.58
2017-09-17 00:00:00+00:00,3706.1,3697.0,-0.25,-1.42,-1.67,-34.0
2017-09-18 00:00:00+00:00,3697.0,3687.1,-0.27,-1.73,-2.0,-35.73
2017-09-20 00:00:00+00:00,4110.2,3883.8,-5.51,-3.39,-8.9,-39.12
2017-09-21 00:00:00+00:00,3883.8,3867.1,-0.43,-1.49,-1.92,-40.61
2017-09-22 00:00:00+00:00,3867.1,3611.0,-6.62,-3.56,-10.18,-44.17
2017-09-23 00:00:00+00:00,3611.0,3603.5,-0.21,2.51,2.3,-41.66
2017-09-25 00:00:00+00:00,3778.9,3660.4,-3.14,-1.77,-4.91,-43.43
2017-09-27 00:00:00+00:00,3925.5,3874.0,-1.31,0.53,-0.78,-42.9
2017-09-29 00:00:00+00:00,4202.5,4187.9,-0.35,-2.96,-3.31,-45.86
2017-09-30 00:00:00+00:00,4187.9,4164.8,-0.55,-2.74,-3.29,-48.6
