timestamp,open,close,xbtusd_daily_change,LTCM20_daily_btc,LTCM20_daily_usd,LTCM20_cumulative_btc
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,-2.76,-10.14,-2.76
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-2.55,-8.21,-5.31
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,1.08,0.89,-4.23
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-2.71,-8.71,-6.94
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-2.83,-4.01,-9.77
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,0.51,-5.36,-9.26
2020-03-29 00:00:00+00:00,6363.5,6250.0,-1.78,4.69,2.91,-4.57
2020-03-30 00:00:00+00:00,6250.0,5869.0,-6.1,0.81,-5.29,-3.76
2020-04-04 00:00:00+00:00,6795.5,6738.0,-0.85,2.93,2.08,-0.83
2020-04-06 00:00:00+00:00,6875.0,6775.5,-1.45,0.0,-1.45,-0.83
2020-04-08 00:00:00+00:00,7338.0,7193.0,-1.98,1.22,-0.76,0.39
