timestamp,open,close,xbtusd_daily_change,EOSH20_daily_btc,EOSH20_daily_usd,EOSH20_cumulative_btc
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.58,-1.93,0.58
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-5.1,-8.4,-4.52
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-3.51,-7.31,-8.03
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,1.28,-0.63,-6.75
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-1.13,-1.78,-7.88
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,1.25,-1.38,-6.63
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,2.5,1.64,-4.13
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-1.92,-2.67,-6.05
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,1.31,1.25,-4.74
2019-12-31 00:00:00+00:00,7381.5,7218.5,-2.21,-0.47,-2.68,-5.21
2020-01-01 00:00:00+00:00,7218.5,7163.0,-0.77,-0.58,-1.35,-5.79
2020-01-03 00:00:00+00:00,7179.0,6942.0,-3.3,-2.23,-5.53,-8.02
2020-01-09 00:00:00+00:00,8155.5,8046.0,-1.34,-1.41,-2.75,-9.43
2020-01-10 00:00:00+00:00,8046.0,7810.5,-2.93,1.69,-1.24,-7.74
2020-01-12 00:00:00+00:00,8204.0,8023.5,-2.2,2.15,-0.05,-5.59
2020-01-14 00:00:00+00:00,8187.0,8104.5,-1.01,-2.03,-3.04,-7.62
2020-01-16 00:00:00+00:00,8835.5,8816.5,-0.22,-1.13,-1.35,-8.75
2020-01-17 00:00:00+00:00,8816.5,8719.0,-1.11,3.06,1.95,-5.69
2020-01-20 00:00:00+00:00,8916.5,8700.5,-2.42,-3.0,-5.42,-8.69
2020-01-21 00:00:00+00:00,8700.5,8632.5,-0.78,1.21,0.43,-7.48
2020-01-23 00:00:00+00:00,8727.5,8664.5,-0.72,0.62,-0.1,-6.86
2020-01-24 00:00:00+00:00,8664.5,8392.0,-3.15,1.02,-2.13,-5.84
2020-01-26 00:00:00+00:00,8425.5,8326.0,-1.18,-2.46,-3.64,-8.3
2020-01-30 00:00:00+00:00,9400.0,9294.5,-1.12,-1.36,-2.48,-9.66
2020-02-01 00:00:00+00:00,9510.0,9339.5,-1.79,-2.52,-4.31,-12.18
2020-02-03 00:00:00+00:00,9382.0,9325.0,-0.61,2.02,1.41,-10.16
2020-02-04 00:00:00+00:00,9325.0,9282.0,-0.46,0.75,0.29,-9.41
2020-02-05 00:00:00+00:00,9282.0,9166.0,-1.25,1.81,0.56,-7.6
2020-02-11 00:00:00+00:00,10172.5,9862.5,-3.05,1.45,-1.6,-6.15
2020-02-14 00:00:00+00:00,10363.0,10241.0,-1.18,1.79,0.61,-4.36
2020-02-16 00:00:00+00:00,10369.5,9907.0,-4.46,-7.84,-12.3,-12.2
2020-02-18 00:00:00+00:00,9934.0,9715.0,-2.2,1.62,-0.58,-10.58
2020-02-20 00:00:00+00:00,10195.5,9596.5,-5.88,-9.34,-15.22,-19.92
2020-02-23 00:00:00+00:00,9694.0,9675.5,-0.19,1.81,1.62,-18.11
2020-02-25 00:00:00+00:00,9966.0,9660.5,-3.07,-3.15,-6.22,-21.26
2020-02-26 00:00:00+00:00,9660.5,9317.0,-3.56,1.83,-1.73,-19.43
2020-02-27 00:00:00+00:00,9317.0,8780.0,-5.76,-8.18,-13.94,-27.61
2020-02-29 00:00:00+00:00,8820.0,8717.5,-1.16,-1.05,-2.21,-28.66
2020-03-01 00:00:00+00:00,8717.5,8531.5,-2.13,1.55,-0.58,-27.11
2020-03-04 00:00:00+00:00,8918.5,8757.0,-1.81,-0.65,-2.46,-27.76
2020-03-05 00:00:00+00:00,8757.0,8756.5,-0.01,-1.2,-1.21,-28.96
2020-03-08 00:00:00+00:00,9158.5,8900.0,-2.82,-2.47,-5.29,-31.43
2020-03-09 00:00:00+00:00,8900.0,8038.5,-9.68,-7.96,-17.64,-39.39
2020-03-10 00:00:00+00:00,8038.5,7928.0,-1.37,2.09,0.72,-37.3
2020-03-11 00:00:00+00:00,7928.0,7889.5,-0.49,0.73,0.24,-36.57
2020-03-13 00:00:00+00:00,7939.0,4346.0,-45.26,-4.29,-49.55,-40.86
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,-0.08,-7.46,-40.94
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-1.3,-6.96,-42.24
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,4.21,4.02,-38.03
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-0.22,-6.22,-38.25
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-1.33,-2.51,-39.58
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,1.49,-4.38,-38.09
