timestamp,open,close,xbtusd_daily_change,EOSH19_daily_btc,EOSH19_daily_usd,EOSH19_cumulative_btc
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,2.0,-3.6,2.0
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,8.07,7.14,10.07
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,-3.86,-10.22,6.21
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-5.08,-10.82,1.13
2018-12-30 00:00:00+00:00,3889.5,3712.0,-4.56,2.44,-2.12,3.57
2019-01-01 00:00:00+00:00,3830.5,3693.0,-3.59,-1.03,-4.62,2.54
2019-01-04 00:00:00+00:00,3888.0,3784.0,-2.67,-4.29,-6.96,-1.75
2019-01-06 00:00:00+00:00,3817.0,3794.5,-0.59,-0.1,-0.69,-1.85
2019-01-08 00:00:00+00:00,4039.0,4005.0,-0.84,-3.63,-4.47,-5.48
2019-01-09 00:00:00+00:00,4005.0,3995.5,-0.24,1.28,1.04,-4.2
2019-01-11 00:00:00+00:00,4001.0,3622.0,-9.47,-9.88,-19.35,-14.08
2019-01-13 00:00:00+00:00,3631.5,3613.0,-0.51,1.23,0.72,-12.85
2019-01-14 00:00:00+00:00,3613.0,3513.0,-2.77,-4.15,-6.92,-17.0
2019-01-16 00:00:00+00:00,3663.0,3574.5,-2.42,-1.16,-3.58,-18.16
2019-01-19 00:00:00+00:00,3637.0,3606.0,-0.85,-1.54,-2.39,-19.7
2019-01-21 00:00:00+00:00,3681.5,3535.0,-3.98,-1.42,-5.4,-21.12
2019-01-22 00:00:00+00:00,3535.0,3529.5,-0.16,0.34,0.18,-20.78
2019-01-24 00:00:00+00:00,3578.0,3551.0,-0.75,-0.16,-0.91,-20.94
2019-01-26 00:00:00+00:00,3568.0,3560.5,-0.21,0.16,-0.05,-20.78
2019-01-27 00:00:00+00:00,3560.5,3554.5,-0.17,-0.88,-1.05,-21.66
2019-01-28 00:00:00+00:00,3554.5,3527.5,-0.76,-1.87,-2.63,-23.53
2019-01-29 00:00:00+00:00,3527.5,3428.0,-2.82,-2.65,-5.47,-26.18
2019-01-30 00:00:00+00:00,3428.0,3391.0,-1.08,1.83,0.75,-24.35
2019-02-01 00:00:00+00:00,3434.0,3413.5,-0.6,-0.2,-0.8,-24.55
2019-02-04 00:00:00+00:00,3464.0,3414.0,-1.44,-1.58,-3.02,-26.13
2019-02-05 00:00:00+00:00,3414.0,3406.5,-0.22,0.95,0.73,-25.18
2019-02-07 00:00:00+00:00,3428.5,3365.5,-1.84,-0.15,-1.99,-25.33
2019-02-08 00:00:00+00:00,3365.5,3357.0,-0.25,0.34,0.09,-24.99
2019-02-12 00:00:00+00:00,3648.0,3591.0,-1.56,-2.02,-3.58,-27.01
2019-02-13 00:00:00+00:00,3591.0,3587.5,-0.1,7.76,7.66,-19.25
2019-02-14 00:00:00+00:00,3587.5,3577.0,-0.29,-3.19,-3.48,-22.44
2019-02-15 00:00:00+00:00,3577.0,3560.0,-0.48,-3.38,-3.86,-25.82
2019-02-22 00:00:00+00:00,3938.5,3897.5,-1.04,-1.85,-2.89,-27.67
2019-02-25 00:00:00+00:00,4111.5,3733.5,-9.19,-9.36,-18.55,-37.03
2019-02-27 00:00:00+00:00,3818.0,3797.0,-0.55,-2.51,-3.06,-39.54
2019-03-01 00:00:00+00:00,3798.0,3788.0,-0.26,0.12,-0.14,-39.42
2019-03-04 00:00:00+00:00,3808.0,3785.5,-0.59,1.59,1.0,-37.83
2019-03-05 00:00:00+00:00,3785.5,3698.5,-2.3,-5.83,-8.13,-43.66
2019-03-09 00:00:00+00:00,3854.0,3840.0,-0.36,-3.99,-4.35,-47.65
2019-03-11 00:00:00+00:00,3916.0,3897.5,-0.47,-0.6,-1.07,-48.25
2019-03-12 00:00:00+00:00,3897.5,3845.0,-1.35,-2.52,-3.87,-50.77
2019-03-14 00:00:00+00:00,3857.5,3849.5,-0.21,-1.79,-2.0,-52.56
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-1.07,-1.67,-53.63
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-0.97,-2.47,-54.6
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,1.17,1.13,-53.43
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.54,-0.87,-53.97
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,2.01,0.42,-51.96
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,0.1,-0.31,-51.86
