timestamp,open,close,xbtusd_daily_change,EOSU19_daily_btc,EOSU19_daily_usd,EOSU19_cumulative_btc
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-2.07,-4.87,-2.07
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.27,-12.45,-0.8
2019-06-30 00:00:00+00:00,12374.5,11870.0,-4.08,6.38,2.3,5.58
2019-07-01 00:00:00+00:00,11870.0,10761.0,-9.34,-0.39,-9.73,5.19
2019-07-02 00:00:00+00:00,10761.0,10570.5,-1.77,7.76,5.99,12.95
2019-07-05 00:00:00+00:00,11983.5,11143.0,-7.01,1.12,-5.89,14.07
2019-07-06 00:00:00+00:00,11143.0,10991.0,-1.36,2.05,0.69,16.12
2019-07-11 00:00:00+00:00,12563.5,12090.0,-3.77,-7.76,-11.53,8.36
2019-07-12 00:00:00+00:00,12090.0,11336.5,-6.23,-5.49,-11.72,2.87
2019-07-14 00:00:00+00:00,11804.0,11370.5,-3.67,3.35,-0.32,6.22
2019-07-15 00:00:00+00:00,11370.5,10185.5,-10.42,-3.93,-14.35,2.29
2019-07-17 00:00:00+00:00,10857.0,9417.0,-13.26,-2.06,-15.32,0.23
2019-07-20 00:00:00+00:00,10646.5,10523.0,-1.16,-0.65,-1.81,-0.42
2019-07-22 00:00:00+00:00,10760.0,10591.5,-1.57,2.11,0.54,1.69
2019-07-23 00:00:00+00:00,10591.5,10320.5,-2.56,-2.95,-5.51,-1.26
2019-07-24 00:00:00+00:00,10320.5,9844.0,-4.62,5.72,1.1,4.46
2019-07-25 00:00:00+00:00,9844.0,9773.0,-0.72,12.06,11.34,16.52
2019-07-27 00:00:00+00:00,9871.5,9845.5,-0.26,1.81,1.55,18.33
2019-07-28 00:00:00+00:00,9845.5,9463.5,-3.88,-3.9,-7.78,14.43
2019-07-30 00:00:00+00:00,9530.5,9502.5,-0.29,-0.47,-0.76,13.96
2019-08-07 00:00:00+00:00,11814.5,11467.0,-2.94,-3.54,-6.48,10.42
2019-08-10 00:00:00+00:00,12020.0,11874.0,-1.21,-5.31,-6.52,5.11
2019-08-11 00:00:00+00:00,11874.0,11280.0,-5.0,9.99,4.99,15.1
2019-08-13 00:00:00+00:00,11531.5,11395.5,-1.18,-0.58,-1.76,14.52
2019-08-14 00:00:00+00:00,11395.5,10858.5,-4.71,3.6,-1.11,18.12
2019-08-15 00:00:00+00:00,10858.5,10025.0,-7.68,-3.07,-10.75,15.05
2019-08-18 00:00:00+00:00,10350.5,10204.0,-1.42,0.79,-0.63,15.84
2019-08-21 00:00:00+00:00,10925.0,10773.5,-1.39,0.47,-0.92,16.31
2019-08-22 00:00:00+00:00,10773.5,10129.0,-5.98,1.98,-4.0,18.29
2019-08-23 00:00:00+00:00,10129.0,10104.5,-0.24,3.79,3.55,22.08
2019-08-25 00:00:00+00:00,10401.5,10136.0,-2.55,2.53,-0.02,24.61
2019-08-28 00:00:00+00:00,10369.0,10176.0,-1.86,0.9,-0.96,25.51
2019-08-29 00:00:00+00:00,10176.0,9701.5,-4.66,-4.5,-9.16,21.01
2019-08-30 00:00:00+00:00,9701.5,9491.5,-2.16,1.11,-1.05,22.12
2019-09-05 00:00:00+00:00,10630.0,10580.5,-0.47,-1.27,-1.74,20.85
2019-09-07 00:00:00+00:00,10586.0,10310.5,-2.6,0.91,-1.69,21.76
2019-09-09 00:00:00+00:00,10492.5,10402.0,-0.86,6.83,5.97,28.59
2019-09-10 00:00:00+00:00,10402.0,10318.0,-0.81,3.0,2.19,31.59
2019-09-11 00:00:00+00:00,10318.0,10102.5,-2.09,-0.75,-2.84,30.84
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,0.17,-0.44,31.01
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,8.24,8.18,39.25
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,1.45,0.97,40.7
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,1.09,0.64,41.79
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,0.2,-0.61,41.99
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,0.9,0.69,42.89
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,2.62,1.58,45.51
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,1.64,-0.33,47.15
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,0.18,-3.21,47.33
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-15.12,-27.02,32.21
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,5.06,3.85,37.27
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,1.3,-3.16,38.57
