timestamp,open,close,xbtusd_daily_change,EOSM19_daily_btc,EOSM19_daily_usd,EOSM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.83,-1.43,-0.83
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.25,-2.75,-2.08
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,1.53,1.49,-0.55
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.7,-1.03,-1.25
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,2.25,0.66,1.0
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-0.15,-0.56,0.85
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,-1.57,-2.96,-0.72
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,1.76,-0.16,1.04
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-6.44,-11.76,-5.4
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,-0.8,-0.99,-6.2
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,-2.25,-4.89,-8.45
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-3.94,-4.4,-12.39
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,-5.61,-7.23,-18.0
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,0.63,-5.26,-17.37
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-0.32,-0.47,-17.69
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-3.9,-4.14,-21.59
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,-0.54,-1.47,-22.13
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,1.89,1.35,-20.24
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,-0.49,-3.85,-20.73
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,4.5,0.61,-16.23
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,-1.39,-8.14,-17.62
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-1.09,-2.36,-18.71
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,-1.03,-3.43,-19.74
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,0.99,0.36,-18.75
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-1.92,-6.13,-20.67
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,1.56,0.89,-19.11
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,-0.75,-1.39,-19.86
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-4.78,-9.29,-24.64
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,-7.24,-14.54,-31.88
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,-0.47,-5.87,-32.35
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,-3.43,-4.31,-35.78
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,0.17,-3.58,-35.61
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,-0.74,-1.97,-36.35
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-2.48,-5.28,-38.83
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.3,-12.42,-37.53
