timestamp,open,close,xbtusd_daily_change,EOSZ19_daily_btc,EOSZ19_daily_usd,EOSZ19_cumulative_btc
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,3.06,2.45,3.06
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,9.42,9.36,12.48
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,0.79,0.31,13.27
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,0.28,-0.17,13.55
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,0.66,-0.15,14.21
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,-0.45,-0.66,13.76
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,2.73,1.69,16.49
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,2.07,0.1,18.56
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,0.29,-3.1,18.85
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-16.38,-28.28,2.47
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,6.32,5.11,8.79
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,1.55,-2.91,10.34
2019-09-30 00:00:00+00:00,8207.0,8054.0,-1.86,-0.26,-2.12,10.08
2019-10-04 00:00:00+00:00,8377.5,8240.5,-1.64,-1.82,-3.46,8.26
2019-10-05 00:00:00+00:00,8240.5,8154.5,-1.04,4.86,3.82,13.12
2019-10-06 00:00:00+00:00,8154.5,8146.5,-0.1,-1.19,-1.29,11.93
2019-10-07 00:00:00+00:00,8146.5,7861.0,-3.5,0.88,-2.62,12.81
2019-10-09 00:00:00+00:00,8208.0,8180.0,-0.34,-1.08,-1.42,11.73
2019-10-11 00:00:00+00:00,8587.5,8586.5,-0.01,-3.76,-3.77,7.97
2019-10-12 00:00:00+00:00,8586.5,8266.0,-3.73,2.35,-1.38,10.32
2019-10-14 00:00:00+00:00,8305.0,8278.0,-0.33,1.79,1.46,12.11
2019-10-16 00:00:00+00:00,8358.0,8156.0,-2.42,-4.48,-6.9,7.63
2019-10-17 00:00:00+00:00,8156.0,7995.5,-1.97,1.55,-0.42,9.18
