timestamp,open,close,xbtusd_daily_change,EOSM18_daily_btc,EOSM18_daily_usd,EOSM18_cumulative_btc
2018-06-09 00:00:00+00:00,7689.0,7625.0,-0.83,-2.61,-3.44,-2.61
2018-06-10 00:00:00+00:00,7625.0,7492.0,-1.74,1.61,-0.13,-1.0
2018-06-11 00:00:00+00:00,7492.0,6767.0,-9.68,-12.88,-22.56,-13.88
2018-06-13 00:00:00+00:00,6870.5,6553.5,-4.61,-8.12,-12.73,-22.0
2018-06-14 00:00:00+00:00,6553.5,6296.5,-3.92,4.21,0.29,-17.79
2018-06-16 00:00:00+00:00,6631.0,6395.0,-3.56,-2.7,-6.26,-20.49
2018-06-18 00:00:00+00:00,6488.5,6443.0,-0.7,-1.71,-2.41,-22.2
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,0.56,-0.03,-21.64
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-9.17,-19.04,-30.81
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-3.46,-3.7,-34.27
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-7.62,-10.46,-41.89
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-3.33,-7.97,-45.22
