timestamp,open,close,xbtusd_daily_change,XRPU19_daily_btc,XRPU19_daily_usd,XRPU19_cumulative_btc
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-2.07,-4.87,-2.07
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,0.6,-13.12,-1.47
2019-06-30 00:00:00+00:00,12374.5,11870.0,-4.08,4.82,0.74,3.35
2019-07-01 00:00:00+00:00,11870.0,10761.0,-9.34,1.58,-7.76,4.93
2019-07-02 00:00:00+00:00,10761.0,10570.5,-1.77,5.25,3.48,10.18
2019-07-05 00:00:00+00:00,11983.5,11143.0,-7.01,2.38,-4.63,12.56
2019-07-06 00:00:00+00:00,11143.0,10991.0,-1.36,-0.28,-1.64,12.28
2019-07-11 00:00:00+00:00,12563.5,12090.0,-3.77,-4.87,-8.64,7.41
2019-07-12 00:00:00+00:00,12090.0,11336.5,-6.23,-3.17,-9.4,4.24
2019-07-14 00:00:00+00:00,11804.0,11370.5,-3.67,0.17,-3.5,4.41
2019-07-15 00:00:00+00:00,11370.5,10185.5,-10.42,1.59,-8.83,6.0
2019-07-17 00:00:00+00:00,10857.0,9417.0,-13.26,8.85,-4.41,14.85
2019-07-20 00:00:00+00:00,10646.5,10523.0,-1.16,1.09,-0.07,15.94
2019-07-22 00:00:00+00:00,10760.0,10591.5,-1.57,1.12,-0.45,17.06
2019-07-23 00:00:00+00:00,10591.5,10320.5,-2.56,-0.79,-3.35,16.27
2019-07-24 00:00:00+00:00,10320.5,9844.0,-4.62,0.77,-3.85,17.04
2019-07-25 00:00:00+00:00,9844.0,9773.0,-0.72,3.52,2.8,20.56
2019-07-27 00:00:00+00:00,9871.5,9845.5,-0.26,4.04,3.78,24.6
2019-07-28 00:00:00+00:00,9845.5,9463.5,-3.88,-1.26,-5.14,23.34
2019-07-30 00:00:00+00:00,9530.5,9502.5,-0.29,-0.49,-0.78,22.85
2019-08-07 00:00:00+00:00,11814.5,11467.0,-2.94,-0.81,-3.75,22.04
2019-08-10 00:00:00+00:00,12020.0,11874.0,-1.21,-3.2,-4.41,18.84
2019-08-11 00:00:00+00:00,11874.0,11280.0,-5.0,6.6,1.6,25.44
2019-08-13 00:00:00+00:00,11531.5,11395.5,-1.18,0.57,-0.61,26.01
2019-08-14 00:00:00+00:00,11395.5,10858.5,-4.71,3.83,-0.88,29.84
2019-08-15 00:00:00+00:00,10858.5,10025.0,-7.68,-6.21,-13.89,23.63
2019-08-18 00:00:00+00:00,10350.5,10204.0,-1.42,3.76,2.34,27.39
2019-08-21 00:00:00+00:00,10925.0,10773.5,-1.39,-1.05,-2.44,26.34
2019-08-22 00:00:00+00:00,10773.5,10129.0,-5.98,2.99,-2.99,29.33
2019-08-23 00:00:00+00:00,10129.0,10104.5,-0.24,2.21,1.97,31.54
2019-08-25 00:00:00+00:00,10401.5,10136.0,-2.55,0.6,-1.95,32.14
2019-08-28 00:00:00+00:00,10369.0,10176.0,-1.86,2.01,0.15,34.15
2019-08-29 00:00:00+00:00,10176.0,9701.5,-4.66,-0.45,-5.11,33.7
2019-08-30 00:00:00+00:00,9701.5,9491.5,-2.16,3.08,0.92,36.78
2019-09-05 00:00:00+00:00,10630.0,10580.5,-0.47,-1.3,-1.77,35.48
2019-09-07 00:00:00+00:00,10586.0,10310.5,-2.6,0.66,-1.94,36.14
2019-09-09 00:00:00+00:00,10492.5,10402.0,-0.86,1.57,0.71,37.71
2019-09-10 00:00:00+00:00,10402.0,10318.0,-0.81,-0.79,-1.6,36.92
2019-09-11 00:00:00+00:00,10318.0,10102.5,-2.09,2.0,-0.09,38.92
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,1.32,0.71,40.24
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,3.42,3.36,43.66
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,-0.55,-1.03,43.11
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,0.63,0.18,43.74
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,10.51,9.7,54.25
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,10.4,10.19,64.65
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.12,-2.16,63.53
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,0.07,-1.9,63.6
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-0.07,-3.46,63.53
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-0.87,-12.77,62.66
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,6.77,5.56,69.43
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,2.98,-1.48,72.41
