timestamp,open,close,xbtusd_daily_change,XRPM19_daily_btc,XRPM19_daily_usd,XRPM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.79,-1.39,-0.79
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-0.87,-2.37,-1.66
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,0.23,0.19,-1.43
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.98,-1.31,-2.41
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,0.16,-1.43,-2.25
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-0.99,-1.4,-3.24
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,-1.74,-3.13,-4.98
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,-0.8,-2.72,-5.78
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-3.38,-8.7,-9.16
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,0.41,0.22,-8.75
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,-0.76,-3.4,-9.51
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-1.61,-2.07,-11.12
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,-4.88,-6.5,-16.0
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,1.02,-4.87,-14.98
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-0.19,-0.34,-15.17
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-0.91,-1.15,-16.08
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,0.34,-0.59,-15.74
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,1.97,1.43,-13.77
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,-1.05,-4.41,-14.82
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,-5.76,-9.65,-20.58
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,-0.46,-7.21,-21.04
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-4.01,-5.28,-25.05
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,-2.52,-4.92,-27.57
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,0.18,-0.45,-27.39
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-3.41,-7.62,-30.8
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,4.56,3.89,-26.24
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,-1.1,-1.74,-27.34
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-2.47,-6.98,-29.81
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,0.64,-6.66,-29.17
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,1.15,-4.25,-28.02
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,-2.07,-2.95,-30.09
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,-2.6,-6.35,-32.69
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,-0.71,-1.94,-33.4
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-1.96,-4.76,-35.36
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.71,-12.01,-33.65
