timestamp,open,close,xbtusd_daily_change,XRPU17_daily_btc,XRPU17_daily_usd,XRPU17_cumulative_btc
2017-06-19 00:00:00+00:00,2626.3,2525.0,-3.86,0.0,-3.86,0.0
2017-06-22 00:00:00+00:00,2736.8,2652.7,-3.07,0.0,-3.07,0.0
2017-06-24 00:00:00+00:00,2699.9,2678.9,-0.78,16.48,15.7,16.48
2017-06-25 00:00:00+00:00,2678.9,2559.5,-4.46,0.0,-4.46,16.48
2017-06-26 00:00:00+00:00,2559.5,2507.9,-2.02,-12.23,-14.25,4.25
2017-06-27 00:00:00+00:00,2507.9,2420.1,-3.5,5.85,2.35,10.1
2017-06-30 00:00:00+00:00,2558.3,2532.7,-1.0,4.83,3.83,14.93
2017-07-01 00:00:00+00:00,2532.7,2453.4,-3.13,-6.78,-9.91,8.15
2017-07-02 00:00:00+00:00,2453.4,2422.7,-1.25,-1.36,-2.61,6.79
2017-07-08 00:00:00+00:00,2603.8,2505.1,-3.79,-4.37,-8.16,2.42
2017-07-10 00:00:00+00:00,2554.4,2506.5,-1.88,1.21,-0.67,3.63
2017-07-11 00:00:00+00:00,2506.5,2335.2,-6.83,-11.66,-18.49,-8.03
2017-07-12 00:00:00+00:00,2335.2,2304.8,-1.3,-7.02,-8.32,-15.05
2017-07-14 00:00:00+00:00,2386.8,2338.1,-2.04,-0.82,-2.86,-15.87
2017-07-15 00:00:00+00:00,2338.1,2208.4,-5.55,0.73,-4.82,-15.14
2017-07-16 00:00:00+00:00,2208.4,1974.0,-10.61,4.67,-5.94,-10.47
2017-07-17 00:00:00+00:00,1974.0,1924.5,-2.51,-9.58,-12.09,-20.05
2017-07-20 00:00:00+00:00,2303.0,2262.1,-1.78,-6.99,-8.77,-27.04
2017-07-22 00:00:00+00:00,2883.1,2666.0,-7.53,2.65,-4.88,-24.39
2017-07-24 00:00:00+00:00,2833.2,2752.8,-2.84,5.72,2.88,-18.67
2017-07-26 00:00:00+00:00,2764.4,2559.6,-7.41,-3.62,-11.03,-22.29
2017-07-27 00:00:00+00:00,2559.6,2530.2,-1.15,2.25,1.1,-20.04
2017-07-30 00:00:00+00:00,2782.0,2692.5,-3.22,6.26,3.04,-13.78
2017-08-02 00:00:00+00:00,2851.1,2730.1,-4.24,15.24,11.0,1.46
2017-08-03 00:00:00+00:00,2730.1,2706.9,-0.85,-3.12,-3.97,-1.66
2017-08-07 00:00:00+00:00,3257.8,3221.8,-1.11,-0.85,-1.96,-2.51
2017-08-10 00:00:00+00:00,3422.1,3341.2,-2.36,-6.7,-9.06,-9.21
2017-08-16 00:00:00+00:00,4328.5,4158.1,-3.94,-8.82,-12.76,-18.03
2017-08-18 00:00:00+00:00,4402.3,4278.3,-2.82,1.73,-1.09,-16.3
2017-08-19 00:00:00+00:00,4278.3,4101.1,-4.14,4.0,-0.14,-12.3
2017-08-21 00:00:00+00:00,4131.1,4049.4,-1.98,5.06,3.08,-7.24
2017-08-22 00:00:00+00:00,4049.4,3998.1,-1.27,29.36,28.09,22.12
2017-08-27 00:00:00+00:00,4357.4,4334.9,-0.52,-6.17,-6.69,15.95
2017-08-31 00:00:00+00:00,4591.8,4569.2,-0.49,2.3,1.81,18.25
2017-09-03 00:00:00+00:00,4944.5,4633.1,-6.3,-5.7,-12.0,12.55
2017-09-04 00:00:00+00:00,4633.1,4624.2,-0.19,1.45,1.26,14.0
2017-09-05 00:00:00+00:00,4624.2,4339.9,-6.15,-4.65,-10.8,9.35
2017-09-09 00:00:00+00:00,4613.9,4317.9,-6.42,-1.26,-7.68,8.09
2017-09-11 00:00:00+00:00,4325.8,4239.5,-2.0,3.05,1.05,11.14
2017-09-12 00:00:00+00:00,4239.5,4207.0,-0.77,-1.27,-2.04,9.87
2017-09-13 00:00:00+00:00,4207.0,4148.8,-1.38,-1.77,-3.15,8.1
2017-09-14 00:00:00+00:00,4148.8,3856.6,-7.04,2.26,-4.78,10.36
2017-09-15 00:00:00+00:00,3856.6,3222.9,-16.43,3.33,-13.1,13.69
2017-09-17 00:00:00+00:00,3706.1,3697.0,-0.25,-1.44,-1.69,12.25
2017-09-18 00:00:00+00:00,3697.0,3687.1,-0.27,-0.86,-1.13,11.39
2017-09-20 00:00:00+00:00,4110.2,3883.8,-5.51,0.13,-5.38,11.52
2017-09-21 00:00:00+00:00,3883.8,3867.1,-0.43,-0.6,-1.03,10.92
2017-09-22 00:00:00+00:00,3867.1,3611.0,-6.62,1.53,-5.09,12.45
2017-09-23 00:00:00+00:00,3611.0,3603.5,-0.21,0.83,0.62,13.28
2017-09-25 00:00:00+00:00,3778.9,3660.4,-3.14,-0.76,-3.9,12.52
2017-09-27 00:00:00+00:00,3925.5,3874.0,-1.31,4.15,2.84,16.67
2017-09-29 00:00:00+00:00,4202.5,4187.9,-0.35,-3.96,-4.31,12.71
2017-09-30 00:00:00+00:00,4187.9,4164.8,-0.55,-3.51,-4.06,9.2
