timestamp,open,close,xbtusd_daily_change,XRPM20_daily_btc,XRPM20_daily_usd,XRPM20_cumulative_btc
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,-0.72,-8.1,-0.72
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-2.51,-8.17,-3.23
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,0.81,0.62,-2.42
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-1.04,-7.04,-3.46
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,0.68,-0.5,-2.78
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,6.67,0.8,3.89
2020-03-29 00:00:00+00:00,6363.5,6250.0,-1.78,3.4,1.62,7.29
2020-03-30 00:00:00+00:00,6250.0,5869.0,-6.1,-2.37,-8.47,4.92
2020-04-04 00:00:00+00:00,6795.5,6738.0,-0.85,1.83,0.98,6.75
2020-04-06 00:00:00+00:00,6875.0,6775.5,-1.45,-0.15,-1.6,6.6
2020-04-08 00:00:00+00:00,7338.0,7193.0,-1.98,-0.85,-2.83,5.75
