timestamp,open,close,xbtusd_daily_change,XRPM17_daily_btc,XRPM17_daily_usd,XRPM17_cumulative_btc
2017-04-29 00:00:00+00:00,1344.3,1339.7,-0.34,28.13,27.79,28.13
2017-05-06 00:00:00+00:00,1551.0,1529.6,-1.38,13.29,11.91,41.42
2017-05-13 00:00:00+00:00,1835.7,1692.3,-7.81,24.23,16.42,65.65
2017-05-16 00:00:00+00:00,1804.2,1740.8,-3.51,32.58,29.07,98.23
2017-05-22 00:00:00+00:00,2053.8,2041.2,-0.61,-1.3,-1.91,96.93
2017-05-26 00:00:00+00:00,2431.6,2306.3,-5.15,-11.32,-16.47,85.61
2017-05-27 00:00:00+00:00,2306.3,2273.7,-1.41,19.71,18.3,105.32
2017-05-28 00:00:00+00:00,2273.7,2089.9,-8.08,-16.05,-24.13,89.27
2017-05-31 00:00:00+00:00,2309.6,2191.4,-5.12,-9.02,-14.14,80.25
2017-06-05 00:00:00+00:00,2543.4,2529.3,-0.55,2.52,1.97,82.77
2017-06-08 00:00:00+00:00,2897.9,2667.6,-7.95,4.8,-3.15,87.57
2017-06-10 00:00:00+00:00,2817.7,2817.2,-0.02,1.74,1.72,89.31
2017-06-13 00:00:00+00:00,2994.8,2656.5,-11.3,0.13,-11.17,89.44
2017-06-15 00:00:00+00:00,2702.6,2432.9,-9.98,11.39,1.41,100.83
2017-06-16 00:00:00+00:00,2432.9,2410.7,-0.91,-7.27,-8.18,93.56
2017-06-19 00:00:00+00:00,2626.3,2525.0,-3.86,11.71,7.85,105.27
2017-06-22 00:00:00+00:00,2736.8,2652.7,-3.07,-6.34,-9.41,98.93
2017-06-24 00:00:00+00:00,2699.9,2678.9,-0.78,5.89,5.11,104.82
2017-06-25 00:00:00+00:00,2678.9,2559.5,-4.46,-0.77,-5.23,104.05
2017-06-26 00:00:00+00:00,2559.5,2507.9,-2.02,-8.25,-10.27,95.8
2017-06-27 00:00:00+00:00,2507.9,2420.1,-3.5,-0.62,-4.12,95.18
2017-06-30 00:00:00+00:00,2558.3,2532.7,-1.0,-3.57,-4.57,91.61
2017-07-01 00:00:00+00:00,2532.7,2453.4,-3.13,-1.46,-4.59,90.15
