timestamp,open,close,xbtusd_daily_change,XRPH20_daily_btc,XRPH20_daily_usd,XRPH20_cumulative_btc
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,1.06,-1.45,1.06
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-2.53,-5.83,-1.47
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-7.2,-11.0,-8.67
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,-2.27,-4.18,-10.94
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-1.58,-2.23,-12.52
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,-0.73,-3.36,-13.25
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,1.58,0.72,-11.67
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-0.68,-1.43,-12.35
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,0.23,0.17,-12.12
2019-12-31 00:00:00+00:00,7381.5,7218.5,-2.21,-0.41,-2.62,-12.53
2020-01-01 00:00:00+00:00,7218.5,7163.0,-0.77,0.49,-0.28,-12.04
2020-01-03 00:00:00+00:00,7179.0,6942.0,-3.3,0.04,-3.26,-12.0
2020-01-09 00:00:00+00:00,8155.5,8046.0,-1.34,-1.84,-3.18,-13.84
2020-01-10 00:00:00+00:00,8046.0,7810.5,-2.93,1.01,-1.92,-12.83
2020-01-12 00:00:00+00:00,8204.0,8023.5,-2.2,1.51,-0.69,-11.32
2020-01-14 00:00:00+00:00,8187.0,8104.5,-1.01,-1.18,-2.19,-12.5
2020-01-16 00:00:00+00:00,8835.5,8816.5,-0.22,-0.49,-0.71,-12.99
2020-01-17 00:00:00+00:00,8816.5,8719.0,-1.11,-0.9,-2.01,-13.89
2020-01-20 00:00:00+00:00,8916.5,8700.5,-2.42,-0.66,-3.08,-14.55
2020-01-21 00:00:00+00:00,8700.5,8632.5,-0.78,-0.74,-1.52,-15.29
2020-01-23 00:00:00+00:00,8727.5,8664.5,-0.72,0.48,-0.24,-14.81
2020-01-24 00:00:00+00:00,8664.5,8392.0,-3.15,-2.01,-5.16,-16.82
2020-01-26 00:00:00+00:00,8425.5,8326.0,-1.18,0.38,-0.8,-16.44
2020-01-30 00:00:00+00:00,9400.0,9294.5,-1.12,-0.97,-2.09,-17.41
2020-02-01 00:00:00+00:00,9510.0,9339.5,-1.79,-0.73,-2.52,-18.14
2020-02-03 00:00:00+00:00,9382.0,9325.0,-0.61,4.32,3.71,-13.82
2020-02-04 00:00:00+00:00,9325.0,9282.0,-0.46,2.02,1.56,-11.8
2020-02-05 00:00:00+00:00,9282.0,9166.0,-1.25,5.46,4.21,-6.34
2020-02-11 00:00:00+00:00,10172.5,9862.5,-3.05,0.0,-3.05,-6.34
2020-02-14 00:00:00+00:00,10363.0,10241.0,-1.18,8.4,7.22,2.06
2020-02-16 00:00:00+00:00,10369.5,9907.0,-4.46,-5.56,-10.02,-3.5
2020-02-18 00:00:00+00:00,9934.0,9715.0,-2.2,0.51,-1.69,-2.99
2020-02-20 00:00:00+00:00,10195.5,9596.5,-5.88,-3.21,-9.09,-6.2
2020-02-23 00:00:00+00:00,9694.0,9675.5,-0.19,0.78,0.59,-5.42
2020-02-25 00:00:00+00:00,9966.0,9660.5,-3.07,-1.9,-4.97,-7.32
2020-02-26 00:00:00+00:00,9660.5,9317.0,-3.56,-3.59,-7.15,-10.91
2020-02-27 00:00:00+00:00,9317.0,8780.0,-5.76,-3.98,-9.74,-14.89
2020-02-29 00:00:00+00:00,8820.0,8717.5,-1.16,1.09,-0.07,-13.8
2020-03-01 00:00:00+00:00,8717.5,8531.5,-2.13,-1.37,-3.5,-15.17
2020-03-04 00:00:00+00:00,8918.5,8757.0,-1.81,-0.45,-2.26,-15.62
2020-03-05 00:00:00+00:00,8757.0,8756.5,-0.01,0.07,0.06,-15.55
2020-03-08 00:00:00+00:00,9158.5,8900.0,-2.82,-0.6,-3.42,-16.15
2020-03-09 00:00:00+00:00,8900.0,8038.5,-9.68,-5.12,-14.8,-21.27
2020-03-10 00:00:00+00:00,8038.5,7928.0,-1.37,4.48,3.11,-16.79
2020-03-11 00:00:00+00:00,7928.0,7889.5,-0.49,1.6,1.11,-15.19
2020-03-13 00:00:00+00:00,7939.0,4346.0,-45.26,6.05,-39.21,-9.14
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,-0.72,-8.1,-9.86
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-1.47,-7.13,-11.33
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,1.36,1.17,-9.97
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-0.75,-6.75,-10.72
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,0.0,-1.18,-10.72
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,1.53,-4.34,-9.19
