timestamp,open,close,xbtusd_daily_change,BCHZ19_daily_btc,BCHZ19_daily_usd,BCHZ19_cumulative_btc
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,2.75,2.14,2.75
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,2.16,2.1,4.91
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,0.27,-0.21,5.18
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,1.56,1.11,6.74
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,5.18,4.37,11.92
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,1.18,0.97,13.1
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.21,-2.25,11.89
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,0.81,-1.16,12.7
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-1.24,-4.63,11.46
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-15.29,-27.19,-3.83
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,4.89,3.68,1.06
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,-1.19,-5.65,-0.13
2019-09-30 00:00:00+00:00,8207.0,8054.0,-1.86,-2.28,-4.14,-2.41
2019-10-04 00:00:00+00:00,8377.5,8240.5,-1.64,0.52,-1.12,-1.89
2019-10-05 00:00:00+00:00,8240.5,8154.5,-1.04,1.11,0.07,-0.78
2019-10-06 00:00:00+00:00,8154.5,8146.5,-0.1,0.48,0.38,-0.3
2019-10-07 00:00:00+00:00,8146.5,7861.0,-3.5,2.45,-1.05,2.15
2019-10-09 00:00:00+00:00,8208.0,8180.0,-0.34,-0.56,-0.9,1.59
2019-10-11 00:00:00+00:00,8587.5,8586.5,-0.01,-3.24,-3.25,-1.65
2019-10-12 00:00:00+00:00,8586.5,8266.0,-3.73,-1.08,-4.81,-2.73
2019-10-14 00:00:00+00:00,8305.0,8278.0,-0.33,-0.04,-0.37,-2.77
2019-10-16 00:00:00+00:00,8358.0,8156.0,-2.42,-0.62,-3.04,-3.39
2019-10-17 00:00:00+00:00,8156.0,7995.5,-1.97,-0.29,-2.26,-3.68
2019-10-19 00:00:00+00:00,8070.5,7951.0,-1.48,-2.24,-3.72,-5.92
2019-10-22 00:00:00+00:00,8233.0,8204.5,-0.35,3.66,3.31,-2.26
2019-10-23 00:00:00+00:00,8204.5,8019.0,-2.26,-0.25,-2.51,-2.51
2019-10-24 00:00:00+00:00,8019.0,7468.0,-6.87,-0.5,-7.37,-3.01
2019-10-25 00:00:00+00:00,7468.0,7424.0,-0.59,2.17,1.58,-0.84
2019-10-29 00:00:00+00:00,9556.0,9226.0,-3.45,4.2,0.75,3.36
2019-10-31 00:00:00+00:00,9438.0,9165.0,-2.89,3.22,0.33,6.58
2019-11-01 00:00:00+00:00,9165.0,9153.5,-0.13,-1.94,-2.07,4.64
2019-11-04 00:00:00+00:00,9313.5,9205.5,-1.16,1.71,0.55,6.35
2019-11-06 00:00:00+00:00,9426.5,9317.0,-1.16,2.35,1.19,8.7
2019-11-08 00:00:00+00:00,9347.0,9213.0,-1.43,-3.29,-4.72,5.41
2019-11-09 00:00:00+00:00,9213.0,8765.0,-4.86,0.29,-4.57,5.7
2019-11-12 00:00:00+00:00,9038.5,8717.5,-3.55,1.33,-2.22,7.03
2019-11-14 00:00:00+00:00,8818.0,8764.0,-0.61,-1.34,-1.95,5.69
2019-11-15 00:00:00+00:00,8764.0,8630.5,-1.52,-1.05,-2.57,4.64
2019-11-16 00:00:00+00:00,8630.5,8456.0,-2.02,-3.37,-5.39,1.27
2019-11-19 00:00:00+00:00,8506.0,8173.5,-3.91,-4.07,-7.98,-2.8
2019-11-20 00:00:00+00:00,8173.5,8123.0,-0.62,-1.1,-1.72,-3.9
2019-11-21 00:00:00+00:00,8123.0,8080.0,-0.53,0.67,0.14,-3.23
2019-11-22 00:00:00+00:00,8080.0,7614.0,-5.77,-1.11,-6.88,-4.34
2019-11-23 00:00:00+00:00,7614.0,7275.5,-4.45,-3.42,-7.87,-7.76
2019-11-25 00:00:00+00:00,7322.5,6902.5,-5.74,-0.27,-6.01,-8.03
2019-11-29 00:00:00+00:00,7525.0,7424.5,-1.34,0.21,-1.13,-7.82
2019-12-01 00:00:00+00:00,7749.0,7549.5,-2.57,-0.24,-2.81,-8.06
2019-12-02 00:00:00+00:00,7549.5,7399.0,-1.99,0.62,-1.37,-7.44
2019-12-03 00:00:00+00:00,7399.0,7300.5,-1.33,0.72,-0.61,-6.72
2019-12-04 00:00:00+00:00,7300.5,7294.5,-0.08,-0.86,-0.94,-7.58
2019-12-05 00:00:00+00:00,7294.5,7192.5,-1.4,-0.62,-2.02,-8.2
2019-12-08 00:00:00+00:00,7538.5,7501.5,-0.49,-0.14,-0.63,-8.34
2019-12-10 00:00:00+00:00,7512.5,7332.5,-2.4,-0.6,-3.0,-8.94
2019-12-11 00:00:00+00:00,7332.5,7218.0,-1.56,1.2,-0.36,-7.74
2019-12-12 00:00:00+00:00,7218.0,7196.5,-0.3,0.11,-0.19,-7.63
