timestamp,open,close,xbtusd_daily_change,BCHM18_daily_btc,BCHM18_daily_usd,BCHM18_cumulative_btc
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-8.57,-19.32,-8.57
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,0.99,-2.71,-7.58
2018-04-02 00:00:00+00:00,6920.5,6817.0,-1.5,-4.7,-6.2,-12.28
2018-04-05 00:00:00+00:00,7408.5,6779.0,-8.5,-1.64,-10.14,-13.92
2018-04-06 00:00:00+00:00,6779.0,6769.5,-0.14,-0.42,-0.56,-14.34
2018-04-07 00:00:00+00:00,6769.5,6612.0,-2.33,-3.04,-5.37,-17.38
2018-04-10 00:00:00+00:00,7014.0,6763.0,-3.58,1.16,-2.42,-16.22
2018-04-14 00:00:00+00:00,7904.5,7887.5,-0.22,0.93,0.71,-15.29
2018-04-17 00:00:00+00:00,8346.5,8047.0,-3.59,1.02,-2.57,-14.27
2018-04-18 00:00:00+00:00,8047.0,7889.5,-1.96,-0.2,-2.16,-14.47
2018-04-23 00:00:00+00:00,8923.5,8800.0,-1.38,5.9,4.52,-8.57
2018-04-26 00:00:00+00:00,9675.0,8846.5,-8.56,-1.74,-10.3,-10.31
2018-04-28 00:00:00+00:00,9288.0,8928.0,-3.88,-3.39,-7.27,-13.7
2018-05-01 00:00:00+00:00,9400.5,9250.0,-1.6,-4.74,-6.34,-18.44
2018-05-02 00:00:00+00:00,9250.0,9066.0,-1.99,1.23,-0.76,-17.21
2018-05-05 00:00:00+00:00,9741.5,9683.0,-0.6,0.36,-0.24,-16.85
2018-05-07 00:00:00+00:00,9828.5,9600.5,-2.32,0.85,-1.47,-16.0
2018-05-08 00:00:00+00:00,9600.5,9359.5,-2.51,-5.41,-7.92,-21.41
2018-05-09 00:00:00+00:00,9359.5,9190.5,-1.81,-1.47,-3.28,-22.88
2018-05-11 00:00:00+00:00,9305.5,9027.5,-2.99,-5.69,-8.68,-28.57
2018-05-12 00:00:00+00:00,9027.5,8413.0,-6.81,-5.92,-12.73,-34.49
2018-05-15 00:00:00+00:00,8693.5,8678.0,-0.18,-4.61,-4.79,-39.1
2018-05-16 00:00:00+00:00,8678.0,8476.5,-2.32,-4.48,-6.8,-43.58
2018-05-17 00:00:00+00:00,8476.5,8334.5,-1.68,-2.78,-4.46,-46.36
2018-05-18 00:00:00+00:00,8334.5,8058.5,-3.31,-3.05,-6.36,-49.41
2018-05-20 00:00:00+00:00,8233.0,8230.0,-0.04,-1.74,-1.78,-51.15
2018-05-22 00:00:00+00:00,8521.5,8397.0,-1.46,-3.34,-4.8,-54.49
2018-05-23 00:00:00+00:00,8397.0,7989.0,-4.86,-3.46,-8.32,-57.95
2018-05-24 00:00:00+00:00,7989.0,7506.0,-6.05,-6.96,-13.01,-64.91
2018-05-26 00:00:00+00:00,7568.0,7464.5,-1.37,-3.5,-4.87,-68.41
2018-05-27 00:00:00+00:00,7464.5,7323.0,-1.9,0.44,-1.46,-67.97
2018-05-29 00:00:00+00:00,7336.5,7111.0,-3.07,-8.44,-11.51,-76.41
2018-05-31 00:00:00+00:00,7469.0,7372.0,-1.3,0.74,-0.56,-75.67
2018-06-05 00:00:00+00:00,7709.0,7492.0,-2.81,-2.74,-5.55,-78.41
2018-06-09 00:00:00+00:00,7689.0,7625.0,-0.83,-1.85,-2.68,-80.26
2018-06-10 00:00:00+00:00,7625.0,7492.0,-1.74,-1.08,-2.82,-81.34
2018-06-11 00:00:00+00:00,7492.0,6767.0,-9.68,-5.18,-14.86,-86.52
2018-06-13 00:00:00+00:00,6870.5,6553.5,-4.61,-4.21,-8.82,-90.73
2018-06-14 00:00:00+00:00,6553.5,6296.5,-3.92,0.22,-3.7,-90.51
2018-06-16 00:00:00+00:00,6631.0,6395.0,-3.56,-2.06,-5.62,-92.57
2018-06-18 00:00:00+00:00,6488.5,6443.0,-0.7,0.23,-0.47,-92.34
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-1.2,-1.79,-93.54
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-5.11,-14.98,-98.65
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-1.69,-1.93,-100.34
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-5.59,-8.43,-105.93
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-3.96,-8.6,-109.89
