timestamp,open,close,xbtusd_daily_change,BCHZ17_daily_btc,BCHZ17_daily_usd,BCHZ17_cumulative_btc
2017-11-24 00:00:00+00:00,8219.0,7988.5,-2.8,25.15,22.35,25.15
2017-11-30 00:00:00+00:00,9938.0,9869.5,-0.69,-11.34,-12.03,13.81
2017-12-09 00:00:00+00:00,17427.0,16272.0,-6.63,16.11,9.48,29.92
2017-12-10 00:00:00+00:00,16272.0,14984.5,-7.91,8.94,1.03,38.86
2017-12-14 00:00:00+00:00,17236.0,16436.5,-4.64,0.91,-3.73,39.77
2017-12-18 00:00:00+00:00,19547.5,19287.5,-1.33,3.9,2.57,43.67
2017-12-19 00:00:00+00:00,19287.5,19127.0,-0.83,17.44,16.61,61.11
2017-12-20 00:00:00+00:00,19127.0,17663.0,-7.65,36.7,29.05,97.81
2017-12-21 00:00:00+00:00,17663.0,16463.0,-6.79,43.4,36.61,141.21
2017-12-22 00:00:00+00:00,16463.0,15775.0,-4.18,-10.18,-14.36,131.03
2017-12-23 00:00:00+00:00,15775.0,13763.5,-12.75,-6.92,-19.67,124.11
2017-12-25 00:00:00+00:00,14719.5,14227.5,-3.34,-0.86,-4.2,123.25
2017-12-26 00:00:00+00:00,14227.5,13989.5,-1.67,-2.47,-4.14,120.78
2017-12-28 00:00:00+00:00,15833.5,15380.5,-2.86,-4.22,-7.08,116.56
2017-12-29 00:00:00+00:00,15380.5,14480.0,-5.85,-2.62,-8.47,113.94
