timestamp,open,close,xbtusd_daily_change,BCHH18_daily_btc,BCHH18_daily_usd,BCHH18_cumulative_btc
2018-01-26 00:00:00+00:00,11394.5,11117.0,-2.44,-0.83,-3.27,-0.83
2018-01-27 00:00:00+00:00,11117.0,11110.0,-0.06,-5.56,-5.62,-6.39
2018-01-30 00:00:00+00:00,11631.5,11127.0,-4.34,-1.76,-6.1,-8.15
2018-01-31 00:00:00+00:00,11127.0,9999.0,-10.14,-0.93,-11.07,-9.08
2018-02-02 00:00:00+00:00,10132.0,9008.0,-11.09,-5.54,-16.63,-14.62
2018-02-03 00:00:00+00:00,9008.0,8807.5,-2.23,-4.31,-6.54,-18.93
2018-02-05 00:00:00+00:00,9226.5,8151.0,-11.66,-0.07,-11.73,-19.0
2018-02-06 00:00:00+00:00,8151.0,6889.5,-15.48,-8.83,-24.31,-27.83
2018-02-08 00:00:00+00:00,7674.5,7598.5,-0.99,1.1,0.11,-26.73
2018-02-11 00:00:00+00:00,8675.5,8548.5,-1.46,-2.19,-3.65,-28.92
2018-02-12 00:00:00+00:00,8548.5,8065.0,-5.66,2.65,-3.01,-26.27
2018-02-14 00:00:00+00:00,8905.5,8499.5,-4.56,0.14,-4.42,-26.13
2018-02-19 00:00:00+00:00,11144.0,10402.0,-6.66,1.14,-5.52,-24.99
2018-02-22 00:00:00+00:00,11220.0,10455.0,-6.82,-2.44,-9.26,-27.43
2018-02-23 00:00:00+00:00,10455.0,9831.5,-5.96,0.65,-5.31,-26.78
2018-02-25 00:00:00+00:00,10130.5,9689.0,-4.36,-1.75,-6.11,-28.53
2018-02-26 00:00:00+00:00,9689.0,9591.0,-1.01,0.89,-0.12,-27.64
2018-03-01 00:00:00+00:00,10530.0,10319.0,-2.0,0.09,-1.91,-27.55
2018-03-06 00:00:00+00:00,11490.5,11330.5,-1.39,-1.67,-3.06,-29.22
2018-03-07 00:00:00+00:00,11330.5,10730.0,-5.3,2.42,-2.88,-26.8
2018-03-08 00:00:00+00:00,10730.0,9913.5,-7.61,-3.32,-10.93,-30.12
2018-03-09 00:00:00+00:00,9913.5,9304.5,-6.14,1.36,-4.78,-28.76
2018-03-10 00:00:00+00:00,9304.5,9224.0,-0.87,3.21,2.34,-25.55
2018-03-11 00:00:00+00:00,9224.0,8789.5,-4.71,-0.78,-5.49,-26.33
2018-03-13 00:00:00+00:00,9543.0,9093.0,-4.72,-3.8,-8.52,-30.13
2018-03-15 00:00:00+00:00,9133.5,8190.5,-10.32,-0.09,-10.41,-30.22
2018-03-18 00:00:00+00:00,8250.5,7849.0,-4.87,2.2,-2.67,-28.02
2018-03-22 00:00:00+00:00,8897.0,8893.5,-0.04,-2.91,-2.95,-30.93
2018-03-23 00:00:00+00:00,8893.5,8700.0,-2.18,0.6,-1.58,-30.33
2018-03-25 00:00:00+00:00,8921.0,8512.0,-4.58,-1.89,-6.47,-32.22
2018-03-26 00:00:00+00:00,8512.0,8444.5,-0.79,0.87,0.08,-31.35
2018-03-27 00:00:00+00:00,8444.5,8150.0,-3.49,-2.86,-6.35,-34.21
2018-03-28 00:00:00+00:00,8150.0,7791.0,-4.4,0.0,-4.4,-34.21
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-7.76,-18.51,-41.97
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,0.44,-3.26,-41.53
