timestamp,open,close,xbtusd_daily_change,BCHU19_daily_btc,BCHU19_daily_usd,BCHU19_cumulative_btc
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-1.61,-4.41,-1.61
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,-1.95,-15.67,-3.56
2019-06-30 00:00:00+00:00,12374.5,11870.0,-4.08,6.62,2.54,3.06
2019-07-01 00:00:00+00:00,11870.0,10761.0,-9.34,-0.47,-9.81,2.59
2019-07-02 00:00:00+00:00,10761.0,10570.5,-1.77,6.27,4.5,8.86
2019-07-05 00:00:00+00:00,11983.5,11143.0,-7.01,1.61,-5.4,10.47
2019-07-06 00:00:00+00:00,11143.0,10991.0,-1.36,1.67,0.31,12.14
2019-07-11 00:00:00+00:00,12563.5,12090.0,-3.77,-2.53,-6.3,9.61
2019-07-12 00:00:00+00:00,12090.0,11336.5,-6.23,-6.09,-12.32,3.52
2019-07-14 00:00:00+00:00,11804.0,11370.5,-3.67,1.73,-1.94,5.25
2019-07-15 00:00:00+00:00,11370.5,10185.5,-10.42,-9.5,-19.92,-4.25
2019-07-17 00:00:00+00:00,10857.0,9417.0,-13.26,4.3,-8.96,0.05
2019-07-20 00:00:00+00:00,10646.5,10523.0,-1.16,-1.35,-2.51,-1.3
2019-07-22 00:00:00+00:00,10760.0,10591.5,-1.57,0.1,-1.47,-1.2
2019-07-23 00:00:00+00:00,10591.5,10320.5,-2.56,-1.12,-3.68,-2.32
2019-07-24 00:00:00+00:00,10320.5,9844.0,-4.62,0.43,-4.19,-1.89
2019-07-25 00:00:00+00:00,9844.0,9773.0,-0.72,3.06,2.34,1.17
2019-07-27 00:00:00+00:00,9871.5,9845.5,-0.26,6.04,5.78,7.21
2019-07-28 00:00:00+00:00,9845.5,9463.5,-3.88,-0.55,-4.43,6.66
2019-07-30 00:00:00+00:00,9530.5,9502.5,-0.29,-1.16,-1.45,5.5
2019-08-07 00:00:00+00:00,11814.5,11467.0,-2.94,-0.78,-3.72,4.72
2019-08-10 00:00:00+00:00,12020.0,11874.0,-1.21,-4.64,-5.85,0.08
2019-08-11 00:00:00+00:00,11874.0,11280.0,-5.0,5.89,0.89,5.97
2019-08-13 00:00:00+00:00,11531.5,11395.5,-1.18,-0.78,-1.96,5.19
2019-08-14 00:00:00+00:00,11395.5,10858.5,-4.71,10.04,5.33,15.23
2019-08-15 00:00:00+00:00,10858.5,10025.0,-7.68,-3.56,-11.24,11.67
2019-08-18 00:00:00+00:00,10350.5,10204.0,-1.42,1.05,-0.37,12.72
2019-08-21 00:00:00+00:00,10925.0,10773.5,-1.39,-1.62,-3.01,11.1
2019-08-22 00:00:00+00:00,10773.5,10129.0,-5.98,2.74,-3.24,13.84
2019-08-23 00:00:00+00:00,10129.0,10104.5,-0.24,3.0,2.76,16.84
2019-08-25 00:00:00+00:00,10401.5,10136.0,-2.55,-0.79,-3.34,16.05
2019-08-28 00:00:00+00:00,10369.0,10176.0,-1.86,0.87,-0.99,16.92
2019-08-29 00:00:00+00:00,10176.0,9701.5,-4.66,-0.99,-5.65,15.93
2019-08-30 00:00:00+00:00,9701.5,9491.5,-2.16,-1.6,-3.76,14.33
2019-09-05 00:00:00+00:00,10630.0,10580.5,-0.47,-2.02,-2.49,12.31
2019-09-07 00:00:00+00:00,10586.0,10310.5,-2.6,0.66,-1.94,12.97
2019-09-09 00:00:00+00:00,10492.5,10402.0,-0.86,3.08,2.22,16.05
2019-09-10 00:00:00+00:00,10402.0,10318.0,-0.81,0.07,-0.74,16.12
2019-09-11 00:00:00+00:00,10318.0,10102.5,-2.09,2.04,-0.05,18.16
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,0.0,-0.61,18.16
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,2.44,2.38,20.6
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,-0.03,-0.51,20.57
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,2.11,1.66,22.68
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,4.47,3.66,27.15
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,2.11,1.9,29.26
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.65,-2.69,27.61
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,0.45,-1.52,28.06
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-1.83,-5.22,26.23
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-15.12,-27.02,11.11
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,5.64,4.43,16.75
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,-1.56,-6.02,15.19
