timestamp,open,close,xbtusd_daily_change,ADAM19_daily_btc,ADAM19_daily_usd,ADAM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-1.46,-2.06,-1.46
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.11,-2.61,-2.57
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,6.98,6.94,4.41
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.89,-1.22,3.52
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,-1.28,-2.87,2.24
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-2.4,-2.81,-0.16
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,-3.37,-4.76,-3.53
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,-2.34,-4.26,-5.87
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-3.48,-8.8,-9.35
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,0.6,0.41,-8.75
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,-1.07,-3.71,-9.82
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-2.58,-3.04,-12.4
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,-0.22,-1.84,-12.62
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,-0.66,-6.55,-13.28
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-2.73,-2.88,-16.01
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-3.79,-4.03,-19.8
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,0.0,-0.93,-19.8
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,2.76,2.22,-17.04
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,-3.48,-6.84,-20.52
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,-2.91,-6.8,-23.43
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,0.79,-5.96,-22.64
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-4.03,-5.3,-26.67
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,0.28,-2.12,-26.39
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,0.09,-0.54,-26.3
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-5.0,-9.21,-31.3
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,3.42,2.75,-27.88
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,-0.83,-1.47,-28.71
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-4.82,-9.33,-33.53
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,-2.77,-10.07,-36.3
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,-0.37,-5.77,-36.67
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,-1.02,-1.9,-37.69
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,-2.72,-6.47,-40.41
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,4.09,2.86,-36.32
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-2.67,-5.47,-38.99
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,2.41,-11.31,-36.58
