timestamp,open,close,xbtusd_daily_change,ADAH18_daily_btc,ADAH18_daily_usd,ADAH18_cumulative_btc
2018-01-26 00:00:00+00:00,11394.5,11117.0,-2.44,2.03,-0.41,2.03
2018-01-27 00:00:00+00:00,11117.0,11110.0,-0.06,-3.99,-4.05,-1.96
2018-01-30 00:00:00+00:00,11631.5,11127.0,-4.34,-3.89,-8.23,-5.85
2018-01-31 00:00:00+00:00,11127.0,9999.0,-10.14,-7.1,-17.24,-12.95
2018-02-02 00:00:00+00:00,10132.0,9008.0,-11.09,-6.9,-17.99,-19.85
2018-02-03 00:00:00+00:00,9008.0,8807.5,-2.23,2.94,0.71,-16.91
2018-02-05 00:00:00+00:00,9226.5,8151.0,-11.66,-3.66,-15.32,-20.57
2018-02-06 00:00:00+00:00,8151.0,6889.5,-15.48,-0.81,-16.29,-21.38
2018-02-08 00:00:00+00:00,7674.5,7598.5,-0.99,-8.28,-9.27,-29.66
2018-02-11 00:00:00+00:00,8675.5,8548.5,-1.46,0.98,-0.48,-28.68
2018-02-12 00:00:00+00:00,8548.5,8065.0,-5.66,-3.1,-8.76,-31.78
2018-02-14 00:00:00+00:00,8905.5,8499.5,-4.56,-0.14,-4.7,-31.92
2018-02-19 00:00:00+00:00,11144.0,10402.0,-6.66,-4.97,-11.63,-36.89
2018-02-22 00:00:00+00:00,11220.0,10455.0,-6.82,1.31,-5.51,-35.58
2018-02-23 00:00:00+00:00,10455.0,9831.5,-5.96,-1.77,-7.73,-37.35
2018-02-25 00:00:00+00:00,10130.5,9689.0,-4.36,-1.06,-5.42,-38.41
2018-02-26 00:00:00+00:00,9689.0,9591.0,-1.01,9.29,8.28,-29.12
2018-03-01 00:00:00+00:00,10530.0,10319.0,-2.0,-5.89,-7.89,-35.01
2018-03-06 00:00:00+00:00,11490.5,11330.5,-1.39,-1.09,-2.48,-36.1
2018-03-07 00:00:00+00:00,11330.5,10730.0,-5.3,1.68,-3.62,-34.42
2018-03-08 00:00:00+00:00,10730.0,9913.5,-7.61,-7.39,-15.0,-41.81
2018-03-09 00:00:00+00:00,9913.5,9304.5,-6.14,-7.65,-13.79,-49.46
2018-03-10 00:00:00+00:00,9304.5,9224.0,-0.87,4.47,3.6,-44.99
2018-03-11 00:00:00+00:00,9224.0,8789.5,-4.71,-2.1,-6.81,-47.09
2018-03-13 00:00:00+00:00,9543.0,9093.0,-4.72,3.19,-1.53,-43.9
2018-03-15 00:00:00+00:00,9133.5,8190.5,-10.32,-1.88,-12.2,-45.78
2018-03-18 00:00:00+00:00,8250.5,7849.0,-4.87,-12.14,-17.01,-57.92
2018-03-22 00:00:00+00:00,8897.0,8893.5,-0.04,3.07,3.03,-54.85
2018-03-23 00:00:00+00:00,8893.5,8700.0,-2.18,-3.15,-5.33,-58.0
2018-03-25 00:00:00+00:00,8921.0,8512.0,-4.58,3.0,-1.58,-55.0
2018-03-26 00:00:00+00:00,8512.0,8444.5,-0.79,-0.77,-1.56,-55.77
2018-03-27 00:00:00+00:00,8444.5,8150.0,-3.49,-7.66,-11.15,-63.43
2018-03-28 00:00:00+00:00,8150.0,7791.0,-4.4,-2.78,-7.18,-66.21
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,1.15,-9.6,-65.06
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,0.99,-2.71,-64.07
