timestamp,open,close,xbtusd_daily_change,ADAM18_daily_btc,ADAM18_daily_usd,ADAM18_cumulative_btc
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-5.48,-16.23,-5.48
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,6.84,3.14,1.36
2018-04-02 00:00:00+00:00,6920.5,6817.0,-1.5,-0.18,-1.68,1.18
2018-04-05 00:00:00+00:00,7408.5,6779.0,-8.5,-2.27,-10.77,-1.09
2018-04-06 00:00:00+00:00,6779.0,6769.5,-0.14,-1.62,-1.76,-2.71
2018-04-07 00:00:00+00:00,6769.5,6612.0,-2.33,0.13,-2.2,-2.58
2018-04-10 00:00:00+00:00,7014.0,6763.0,-3.58,0.58,-3.0,-2.0
2018-04-14 00:00:00+00:00,7904.5,7887.5,-0.22,-6.7,-6.92,-8.7
2018-04-17 00:00:00+00:00,8346.5,8047.0,-3.59,11.59,8.0,2.89
2018-04-18 00:00:00+00:00,8047.0,7889.5,-1.96,0.06,-1.9,2.95
2018-04-23 00:00:00+00:00,8923.5,8800.0,-1.38,-2.99,-4.37,-0.04
2018-04-26 00:00:00+00:00,9675.0,8846.5,-8.56,-7.41,-15.97,-7.45
2018-04-28 00:00:00+00:00,9288.0,8928.0,-3.88,-0.35,-4.23,-7.8
2018-05-01 00:00:00+00:00,9400.5,9250.0,-1.6,-2.14,-3.74,-9.94
2018-05-02 00:00:00+00:00,9250.0,9066.0,-1.99,4.41,2.42,-5.53
2018-05-05 00:00:00+00:00,9741.5,9683.0,-0.6,0.38,-0.22,-5.15
2018-05-07 00:00:00+00:00,9828.5,9600.5,-2.32,-4.23,-6.55,-9.38
2018-05-08 00:00:00+00:00,9600.5,9359.5,-2.51,-3.68,-6.19,-13.06
2018-05-09 00:00:00+00:00,9359.5,9190.5,-1.81,-1.2,-3.01,-14.26
2018-05-11 00:00:00+00:00,9305.5,9027.5,-2.99,-5.87,-8.86,-20.13
2018-05-12 00:00:00+00:00,9027.5,8413.0,-6.81,-8.13,-14.94,-28.26
2018-05-15 00:00:00+00:00,8693.5,8678.0,-0.18,-4.3,-4.48,-32.56
2018-05-16 00:00:00+00:00,8678.0,8476.5,-2.32,-3.01,-5.33,-35.57
2018-05-17 00:00:00+00:00,8476.5,8334.5,-1.68,-0.38,-2.06,-35.95
2018-05-18 00:00:00+00:00,8334.5,8058.5,-3.31,-1.99,-5.3,-37.94
2018-05-20 00:00:00+00:00,8233.0,8230.0,-0.04,0.86,0.82,-37.08
2018-05-22 00:00:00+00:00,8521.5,8397.0,-1.46,-2.65,-4.11,-39.73
2018-05-23 00:00:00+00:00,8397.0,7989.0,-4.86,-8.6,-13.46,-48.33
2018-05-24 00:00:00+00:00,7989.0,7506.0,-6.05,-4.17,-10.22,-52.5
2018-05-26 00:00:00+00:00,7568.0,7464.5,-1.37,-2.42,-3.79,-54.92
2018-05-27 00:00:00+00:00,7464.5,7323.0,-1.9,-0.33,-2.23,-55.25
2018-05-29 00:00:00+00:00,7336.5,7111.0,-3.07,-8.38,-11.45,-63.63
2018-05-31 00:00:00+00:00,7469.0,7372.0,-1.3,4.03,2.73,-59.6
2018-06-05 00:00:00+00:00,7709.0,7492.0,-2.81,-4.36,-7.17,-63.96
2018-06-09 00:00:00+00:00,7689.0,7625.0,-0.83,-2.43,-3.26,-66.39
2018-06-10 00:00:00+00:00,7625.0,7492.0,-1.74,0.0,-1.74,-66.39
2018-06-11 00:00:00+00:00,7492.0,6767.0,-9.68,-5.9,-15.58,-72.29
2018-06-13 00:00:00+00:00,6870.5,6553.5,-4.61,-3.7,-8.31,-75.99
2018-06-14 00:00:00+00:00,6553.5,6296.5,-3.92,-0.71,-4.63,-76.7
2018-06-16 00:00:00+00:00,6631.0,6395.0,-3.56,-2.27,-5.83,-78.97
2018-06-18 00:00:00+00:00,6488.5,6443.0,-0.7,-0.52,-1.22,-79.49
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-1.66,-2.25,-81.15
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-3.2,-13.07,-84.35
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-4.6,-4.84,-88.95
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-5.06,-7.9,-94.01
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-3.17,-7.81,-97.18
