timestamp,open,close,xbtusd_daily_change,ADAM20_daily_btc,ADAM20_daily_usd,ADAM20_cumulative_btc
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,-0.2,-7.58,-0.2
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-4.96,-10.62,-5.16
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,2.12,1.93,-3.04
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-3.95,-9.95,-6.99
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-1.59,-2.77,-8.58
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,0.67,-5.2,-7.91
2020-03-29 00:00:00+00:00,6363.5,6250.0,-1.78,5.08,3.3,-2.83
2020-03-30 00:00:00+00:00,6250.0,5869.0,-6.1,0.42,-5.68,-2.41
2020-04-04 00:00:00+00:00,6795.5,6738.0,-0.85,2.56,1.71,0.15
2020-04-06 00:00:00+00:00,6875.0,6775.5,-1.45,-0.42,-1.87,-0.27
2020-04-08 00:00:00+00:00,7338.0,7193.0,-1.98,-0.4,-2.38,-0.67
