timestamp,open,close,xbtusd_daily_change,ADAU19_daily_btc,ADAU19_daily_usd,ADAU19_cumulative_btc
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-1.46,-4.26,-1.46
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.83,-11.89,0.37
2019-06-30 00:00:00+00:00,12374.5,11870.0,-4.08,6.01,1.93,6.38
2019-07-01 00:00:00+00:00,11870.0,10761.0,-9.34,-0.26,-9.6,6.12
2019-07-02 00:00:00+00:00,10761.0,10570.5,-1.77,4.39,2.62,10.51
2019-07-05 00:00:00+00:00,11983.5,11143.0,-7.01,0.71,-6.3,11.22
2019-07-06 00:00:00+00:00,11143.0,10991.0,-1.36,0.57,-0.79,11.79
2019-07-11 00:00:00+00:00,12563.5,12090.0,-3.77,-4.76,-8.53,7.03
2019-07-12 00:00:00+00:00,12090.0,11336.5,-6.23,-2.33,-8.56,4.7
2019-07-14 00:00:00+00:00,11804.0,11370.5,-3.67,-1.16,-4.83,3.54
2019-07-15 00:00:00+00:00,11370.5,10185.5,-10.42,-1.18,-11.6,2.36
2019-07-17 00:00:00+00:00,10857.0,9417.0,-13.26,1.09,-12.17,3.45
2019-07-20 00:00:00+00:00,10646.5,10523.0,-1.16,3.59,2.43,7.04
2019-07-22 00:00:00+00:00,10760.0,10591.5,-1.57,-1.19,-2.76,5.85
2019-07-23 00:00:00+00:00,10591.5,10320.5,-2.56,-0.51,-3.07,5.34
2019-07-24 00:00:00+00:00,10320.5,9844.0,-4.62,-1.72,-6.34,3.62
2019-07-25 00:00:00+00:00,9844.0,9773.0,-0.72,7.02,6.3,10.64
2019-07-27 00:00:00+00:00,9871.5,9845.5,-0.26,8.15,7.89,18.79
2019-07-28 00:00:00+00:00,9845.5,9463.5,-3.88,-1.54,-5.42,17.25
2019-07-30 00:00:00+00:00,9530.5,9502.5,-0.29,1.75,1.46,19.0
2019-08-07 00:00:00+00:00,11814.5,11467.0,-2.94,-2.49,-5.43,16.51
2019-08-10 00:00:00+00:00,12020.0,11874.0,-1.21,-7.59,-8.8,8.92
2019-08-11 00:00:00+00:00,11874.0,11280.0,-5.0,14.93,9.93,23.85
2019-08-13 00:00:00+00:00,11531.5,11395.5,-1.18,-1.88,-3.06,21.97
2019-08-14 00:00:00+00:00,11395.5,10858.5,-4.71,4.05,-0.66,26.02
2019-08-15 00:00:00+00:00,10858.5,10025.0,-7.68,-3.28,-10.96,22.74
2019-08-18 00:00:00+00:00,10350.5,10204.0,-1.42,3.54,2.12,26.28
2019-08-21 00:00:00+00:00,10925.0,10773.5,-1.39,-0.43,-1.82,25.85
2019-08-22 00:00:00+00:00,10773.5,10129.0,-5.98,2.62,-3.36,28.47
2019-08-23 00:00:00+00:00,10129.0,10104.5,-0.24,4.68,4.44,33.15
2019-08-25 00:00:00+00:00,10401.5,10136.0,-2.55,4.18,1.63,37.33
2019-08-28 00:00:00+00:00,10369.0,10176.0,-1.86,3.13,1.27,40.46
2019-08-29 00:00:00+00:00,10176.0,9701.5,-4.66,-4.66,-9.32,35.8
2019-08-30 00:00:00+00:00,9701.5,9491.5,-2.16,-0.42,-2.58,35.38
2019-09-05 00:00:00+00:00,10630.0,10580.5,-0.47,-2.28,-2.75,33.1
2019-09-07 00:00:00+00:00,10586.0,10310.5,-2.6,3.12,0.52,36.22
2019-09-09 00:00:00+00:00,10492.5,10402.0,-0.86,1.59,0.73,37.81
2019-09-10 00:00:00+00:00,10402.0,10318.0,-0.81,1.34,0.53,39.15
2019-09-11 00:00:00+00:00,10318.0,10102.5,-2.09,0.66,-1.43,39.81
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,2.07,1.46,41.88
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,1.81,1.75,43.69
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,0.89,0.41,44.58
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,1.32,0.87,45.9
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,4.12,3.31,50.02
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,9.17,8.96,59.19
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,1.76,0.72,60.95
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,-0.19,-2.16,60.76
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-3.48,-6.87,57.28
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-8.05,-19.95,49.23
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,6.68,5.47,55.91
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,2.38,-2.08,58.29
