timestamp,open,close,xbtusd_daily_change,ADAH19_daily_btc,ADAH19_daily_usd,ADAH19_cumulative_btc
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,10.28,4.68,10.28
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,4.47,3.54,14.75
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,-4.19,-10.55,10.56
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-4.58,-10.32,5.98
2018-12-30 00:00:00+00:00,3889.5,3712.0,-4.56,2.68,-1.88,8.66
2019-01-01 00:00:00+00:00,3830.5,3693.0,-3.59,-3.17,-6.76,5.49
2019-01-04 00:00:00+00:00,3888.0,3784.0,-2.67,-3.18,-5.85,2.31
2019-01-06 00:00:00+00:00,3817.0,3794.5,-0.59,2.6,2.01,4.91
2019-01-08 00:00:00+00:00,4039.0,4005.0,-0.84,-1.7,-2.54,3.21
2019-01-09 00:00:00+00:00,4005.0,3995.5,-0.24,0.99,0.75,4.2
2019-01-11 00:00:00+00:00,4001.0,3622.0,-9.47,-6.27,-15.74,-2.07
2019-01-13 00:00:00+00:00,3631.5,3613.0,-0.51,-0.91,-1.42,-2.98
2019-01-14 00:00:00+00:00,3613.0,3513.0,-2.77,-4.83,-7.6,-7.81
2019-01-16 00:00:00+00:00,3663.0,3574.5,-2.42,-1.58,-4.0,-9.39
2019-01-19 00:00:00+00:00,3637.0,3606.0,-0.85,-1.76,-2.61,-11.15
2019-01-21 00:00:00+00:00,3681.5,3535.0,-3.98,-1.62,-5.6,-12.77
2019-01-22 00:00:00+00:00,3535.0,3529.5,-0.16,-0.25,-0.41,-13.02
2019-01-24 00:00:00+00:00,3578.0,3551.0,-0.75,-1.3,-2.05,-14.32
2019-01-26 00:00:00+00:00,3568.0,3560.5,-0.21,-0.9,-1.11,-15.22
2019-01-27 00:00:00+00:00,3560.5,3554.5,-0.17,-0.08,-0.25,-15.3
2019-01-28 00:00:00+00:00,3554.5,3527.5,-0.76,-3.74,-4.5,-19.04
2019-01-29 00:00:00+00:00,3527.5,3428.0,-2.82,-3.36,-6.18,-22.4
2019-01-30 00:00:00+00:00,3428.0,3391.0,-1.08,0.0,-1.08,-22.4
2019-02-01 00:00:00+00:00,3434.0,3413.5,-0.6,-2.71,-3.31,-25.11
2019-02-04 00:00:00+00:00,3464.0,3414.0,-1.44,-1.68,-3.12,-26.79
2019-02-05 00:00:00+00:00,3414.0,3406.5,-0.22,-0.36,-0.58,-27.15
2019-02-07 00:00:00+00:00,3428.5,3365.5,-1.84,-2.17,-4.01,-29.32
2019-02-08 00:00:00+00:00,3365.5,3357.0,-0.25,-0.46,-0.71,-29.78
2019-02-12 00:00:00+00:00,3648.0,3591.0,-1.56,-1.86,-3.42,-31.64
2019-02-13 00:00:00+00:00,3591.0,3587.5,-0.1,0.26,0.16,-31.38
2019-02-14 00:00:00+00:00,3587.5,3577.0,-0.29,-0.95,-1.24,-32.33
2019-02-15 00:00:00+00:00,3577.0,3560.0,-0.48,-1.13,-1.61,-33.46
2019-02-22 00:00:00+00:00,3938.5,3897.5,-1.04,-5.01,-6.05,-38.47
2019-02-25 00:00:00+00:00,4111.5,3733.5,-9.19,-6.12,-15.31,-44.59
2019-02-27 00:00:00+00:00,3818.0,3797.0,-0.55,-0.79,-1.34,-45.38
2019-03-01 00:00:00+00:00,3798.0,3788.0,-0.26,-0.7,-0.96,-46.08
2019-03-04 00:00:00+00:00,3808.0,3785.5,-0.59,-0.45,-1.04,-46.53
2019-03-05 00:00:00+00:00,3785.5,3698.5,-2.3,-2.33,-4.63,-48.86
2019-03-09 00:00:00+00:00,3854.0,3840.0,-0.36,-0.72,-1.08,-49.58
2019-03-11 00:00:00+00:00,3916.0,3897.5,-0.47,-1.18,-1.65,-50.76
2019-03-12 00:00:00+00:00,3897.5,3845.0,-1.35,5.2,3.85,-45.56
2019-03-14 00:00:00+00:00,3857.5,3849.5,-0.21,-1.47,-1.68,-47.03
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-1.87,-2.47,-48.9
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-0.68,-2.18,-49.58
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,8.8,8.76,-40.78
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-1.85,-2.18,-42.63
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,-3.24,-4.83,-45.87
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-2.17,-2.58,-48.04
