timestamp,open,close,xbtusd_daily_change,TRXH19_daily_btc,TRXH19_daily_usd,TRXH19_cumulative_btc
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,19.44,13.84,19.44
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,-0.56,-1.49,18.88
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,1.92,-4.44,20.8
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-5.37,-11.11,15.43
2018-12-30 00:00:00+00:00,3889.5,3712.0,-4.56,-1.65,-6.21,13.78
2019-01-01 00:00:00+00:00,3830.5,3693.0,-3.59,-3.41,-7.0,10.37
2019-01-04 00:00:00+00:00,3888.0,3784.0,-2.67,0.76,-1.91,11.13
2019-01-06 00:00:00+00:00,3817.0,3794.5,-0.59,5.0,4.41,16.13
2019-01-08 00:00:00+00:00,4039.0,4005.0,-0.84,2.6,1.76,18.73
2019-01-09 00:00:00+00:00,4005.0,3995.5,-0.24,5.06,4.82,23.79
2019-01-11 00:00:00+00:00,4001.0,3622.0,-9.47,-5.33,-14.8,18.46
2019-01-13 00:00:00+00:00,3631.5,3613.0,-0.51,0.16,-0.35,18.62
2019-01-14 00:00:00+00:00,3613.0,3513.0,-2.77,-4.08,-6.85,14.54
2019-01-16 00:00:00+00:00,3663.0,3574.5,-2.42,-1.9,-4.32,12.64
2019-01-19 00:00:00+00:00,3637.0,3606.0,-0.85,-3.07,-3.92,9.57
2019-01-21 00:00:00+00:00,3681.5,3535.0,-3.98,-0.16,-4.14,9.41
2019-01-22 00:00:00+00:00,3535.0,3529.5,-0.16,5.88,5.72,15.29
2019-01-24 00:00:00+00:00,3578.0,3551.0,-0.75,-2.19,-2.94,13.1
2019-01-26 00:00:00+00:00,3568.0,3560.5,-0.21,-1.19,-1.4,11.91
2019-01-27 00:00:00+00:00,3560.5,3554.5,-0.17,2.11,1.94,14.02
2019-01-28 00:00:00+00:00,3554.5,3527.5,-0.76,-1.77,-2.53,12.25
2019-01-29 00:00:00+00:00,3527.5,3428.0,-2.82,-3.75,-6.57,8.5
2019-01-30 00:00:00+00:00,3428.0,3391.0,-1.08,1.09,0.01,9.59
2019-02-01 00:00:00+00:00,3434.0,3413.5,-0.6,-2.0,-2.6,7.59
2019-02-04 00:00:00+00:00,3464.0,3414.0,-1.44,-0.93,-2.37,6.66
2019-02-05 00:00:00+00:00,3414.0,3406.5,-0.22,14.24,14.02,20.9
2019-02-07 00:00:00+00:00,3428.5,3365.5,-1.84,-0.55,-2.39,20.35
2019-02-08 00:00:00+00:00,3365.5,3357.0,-0.25,1.11,0.86,21.46
2019-02-12 00:00:00+00:00,3648.0,3591.0,-1.56,-1.66,-3.22,19.8
2019-02-13 00:00:00+00:00,3591.0,3587.5,-0.1,0.92,0.82,20.72
2019-02-14 00:00:00+00:00,3587.5,3577.0,-0.29,0.76,0.47,21.48
2019-02-15 00:00:00+00:00,3577.0,3560.0,-0.48,-2.41,-2.89,19.07
2019-02-22 00:00:00+00:00,3938.5,3897.5,-1.04,-0.78,-1.82,18.29
2019-02-25 00:00:00+00:00,4111.5,3733.5,-9.19,0.65,-8.54,18.94
2019-02-27 00:00:00+00:00,3818.0,3797.0,-0.55,0.16,-0.39,19.1
2019-03-01 00:00:00+00:00,3798.0,3788.0,-0.26,-0.8,-1.06,18.3
2019-03-04 00:00:00+00:00,3808.0,3785.5,-0.59,-1.17,-1.76,17.13
2019-03-05 00:00:00+00:00,3785.5,3698.5,-2.3,3.04,0.74,20.17
2019-03-09 00:00:00+00:00,3854.0,3840.0,-0.36,-2.5,-2.86,17.67
2019-03-11 00:00:00+00:00,3916.0,3897.5,-0.47,0.51,0.04,18.18
2019-03-12 00:00:00+00:00,3897.5,3845.0,-1.35,-1.71,-3.06,16.47
2019-03-14 00:00:00+00:00,3857.5,3849.5,-0.21,0.17,-0.04,16.64
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-1.03,-1.63,15.61
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-2.11,-3.61,13.5
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,7.26,7.22,20.76
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-3.3,-3.63,17.46
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,-1.71,-3.3,15.75
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-0.86,-1.27,14.89
