timestamp,open,close,xbtusd_daily_change,TRXM20_daily_btc,TRXM20_daily_usd,TRXM20_cumulative_btc
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,2.16,-5.22,2.16
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,1.05,-4.61,3.21
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,-0.55,-0.74,2.66
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-1.67,-7.67,0.99
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,0.0,-1.18,0.99
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,0.57,-5.3,1.56
2020-03-29 00:00:00+00:00,6363.5,6250.0,-1.78,2.82,1.04,4.38
2020-03-30 00:00:00+00:00,6250.0,5869.0,-6.1,-0.55,-6.65,3.83
2020-04-04 00:00:00+00:00,6795.5,6738.0,-0.85,0.56,-0.29,4.39
2020-04-06 00:00:00+00:00,6875.0,6775.5,-1.45,5.71,4.26,10.1
2020-04-08 00:00:00+00:00,7338.0,7193.0,-1.98,-1.59,-3.57,8.51
