timestamp,open,close,xbtusd_daily_change,TRXZ18_daily_btc,TRXZ18_daily_usd,TRXZ18_cumulative_btc
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-6.01,-6.57,-6.01
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,4.17,4.08,-1.84
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-8.0,-9.86,-9.84
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,-2.03,-4.3,-11.87
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-1.72,-2.7,-13.59
2018-09-30 00:00:00+00:00,6620.0,6581.5,-0.58,1.17,0.59,-12.42
2018-10-02 00:00:00+00:00,6598.5,6571.0,-0.42,-1.15,-1.57,-13.57
2018-10-03 00:00:00+00:00,6571.0,6502.5,-1.04,0.29,-0.75,-13.28
2018-10-04 00:00:00+00:00,6502.5,6465.0,-0.58,-1.45,-2.03,-14.73
2018-10-07 00:00:00+00:00,6582.0,6552.0,-0.46,1.4,0.94,-13.33
2018-10-10 00:00:00+00:00,6607.5,6591.0,-0.25,-0.74,-0.99,-14.07
2018-10-11 00:00:00+00:00,6591.0,6530.0,-0.93,-1.24,-2.17,-15.31
2018-10-12 00:00:00+00:00,6530.0,6154.5,-5.75,-15.11,-20.86,-30.42
2018-10-15 00:00:00+00:00,6193.5,6181.5,-0.19,-0.8,-0.99,-31.22
2018-10-18 00:00:00+00:00,6456.0,6438.5,-0.27,0.27,0.0,-30.95
2018-10-19 00:00:00+00:00,6438.5,6394.5,-0.68,0.53,-0.15,-30.42
2018-10-20 00:00:00+00:00,6394.5,6384.0,-0.16,0.0,-0.16,-30.42
2018-10-23 00:00:00+00:00,6413.0,6412.5,-0.01,-0.79,-0.8,-31.21
2018-10-24 00:00:00+00:00,6412.5,6395.0,-0.27,-1.33,-1.6,-32.54
2018-10-26 00:00:00+00:00,6412.5,6393.5,-0.3,-0.81,-1.11,-33.35
2018-10-30 00:00:00+00:00,6408.0,6266.5,-2.21,-4.61,-6.82,-37.96
2018-11-04 00:00:00+00:00,6346.0,6332.5,-0.21,-0.55,-0.76,-38.51
2018-11-06 00:00:00+00:00,6427.5,6404.0,-0.37,1.06,0.69,-37.45
2018-11-09 00:00:00+00:00,6510.5,6414.0,-1.48,-3.69,-5.17,-41.14
2018-11-10 00:00:00+00:00,6414.0,6338.5,-1.18,0.55,-0.63,-40.59
2018-11-13 00:00:00+00:00,6361.0,6337.5,-0.37,-1.64,-2.01,-42.23
2018-11-14 00:00:00+00:00,6337.5,6249.0,-1.4,-3.62,-5.02,-45.85
2018-11-15 00:00:00+00:00,6249.0,5586.0,-10.61,-2.6,-13.21,-48.45
2018-11-16 00:00:00+00:00,5586.0,5581.0,-0.09,-0.3,-0.39,-48.75
2018-11-17 00:00:00+00:00,5581.0,5511.0,-1.25,1.19,-0.06,-47.56
2018-11-18 00:00:00+00:00,5511.0,5501.5,-0.17,-0.29,-0.46,-47.85
2018-11-20 00:00:00+00:00,5556.0,4743.0,-14.63,-3.56,-18.19,-51.41
2018-11-21 00:00:00+00:00,4743.0,4348.5,-8.32,-4.0,-12.32,-55.41
2018-11-23 00:00:00+00:00,4537.0,4266.5,-5.96,-1.55,-7.51,-56.96
2018-11-25 00:00:00+00:00,4283.0,3768.5,-12.01,1.9,-10.11,-55.06
2018-11-27 00:00:00+00:00,3930.5,3724.5,-5.24,1.63,-3.61,-53.43
2018-12-01 00:00:00+00:00,4242.0,3972.0,-6.36,-2.2,-8.56,-55.63
2018-12-03 00:00:00+00:00,4136.5,4096.5,-0.97,-0.82,-1.79,-56.45
2018-12-04 00:00:00+00:00,4096.5,3829.5,-6.52,-1.66,-8.18,-58.11
2018-12-06 00:00:00+00:00,3902.0,3695.5,-5.29,-0.82,-6.11,-58.93
2018-12-07 00:00:00+00:00,3695.5,3430.5,-7.17,-2.77,-9.94,-61.7
2018-12-08 00:00:00+00:00,3430.5,3369.0,-1.79,8.26,6.47,-53.44
2018-12-11 00:00:00+00:00,3526.5,3406.0,-3.42,1.07,-2.35,-52.37
2018-12-12 00:00:00+00:00,3406.0,3344.0,-1.82,2.12,0.3,-50.25
2018-12-14 00:00:00+00:00,3431.5,3257.5,-5.07,2.12,-2.95,-48.13
2018-12-15 00:00:00+00:00,3257.5,3193.0,-1.98,0.0,-1.98,-48.13
2018-12-16 00:00:00+00:00,3193.0,3183.0,-0.31,0.26,-0.05,-47.87
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,21.41,15.81,-26.46
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,-0.38,-1.31,-26.84
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,2.33,-4.03,-24.51
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-5.25,-10.99,-29.76
