timestamp,open,close,xbtusd_daily_change,TRXZ19_daily_btc,TRXZ19_daily_usd,TRXZ19_cumulative_btc
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,-39.0,-39.61,-39.0
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,2.72,2.66,-36.28
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,-3.31,-3.79,-39.59
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,3.42,2.97,-36.17
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,7.28,6.47,-28.89
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,8.64,8.43,-20.25
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.17,-2.21,-21.42
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,6.51,4.54,-14.91
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-3.03,-6.42,-17.94
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-9.37,-21.27,-27.31
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,6.9,5.69,-20.41
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,1.94,-2.52,-18.47
2019-09-30 00:00:00+00:00,8207.0,8054.0,-1.86,0.0,-1.86,-18.47
2019-10-04 00:00:00+00:00,8377.5,8240.5,-1.64,0.58,-1.06,-17.89
2019-10-05 00:00:00+00:00,8240.5,8154.5,-1.04,2.89,1.85,-15.0
2019-10-06 00:00:00+00:00,8154.5,8146.5,-0.1,3.37,3.27,-11.63
2019-10-07 00:00:00+00:00,8146.5,7861.0,-3.5,-0.54,-4.04,-12.17
2019-10-09 00:00:00+00:00,8208.0,8180.0,-0.34,4.02,3.68,-8.15
2019-10-11 00:00:00+00:00,8587.5,8586.5,-0.01,-4.06,-4.07,-12.21
2019-10-12 00:00:00+00:00,8586.5,8266.0,-3.73,0.53,-3.2,-11.68
2019-10-14 00:00:00+00:00,8305.0,8278.0,-0.33,3.19,2.86,-8.49
2019-10-16 00:00:00+00:00,8358.0,8156.0,-2.42,-4.98,-7.4,-13.47
2019-10-17 00:00:00+00:00,8156.0,7995.5,-1.97,-1.57,-3.54,-15.04
2019-10-19 00:00:00+00:00,8070.5,7951.0,-1.48,2.65,1.17,-12.39
2019-10-22 00:00:00+00:00,8233.0,8204.5,-0.35,0.53,0.18,-11.86
2019-10-23 00:00:00+00:00,8204.5,8019.0,-2.26,-1.59,-3.85,-13.45
2019-10-24 00:00:00+00:00,8019.0,7468.0,-6.87,3.23,-3.64,-10.22
2019-10-25 00:00:00+00:00,7468.0,7424.0,-0.59,6.77,6.18,-3.45
2019-10-29 00:00:00+00:00,9556.0,9226.0,-3.45,8.54,5.09,5.09
2019-10-31 00:00:00+00:00,9438.0,9165.0,-2.89,-5.24,-8.13,-0.15
2019-11-01 00:00:00+00:00,9165.0,9153.5,-0.13,-0.46,-0.59,-0.61
2019-11-04 00:00:00+00:00,9313.5,9205.5,-1.16,-0.47,-1.63,-1.08
2019-11-06 00:00:00+00:00,9426.5,9317.0,-1.16,1.43,0.27,0.35
2019-11-08 00:00:00+00:00,9347.0,9213.0,-1.43,-2.78,-4.21,-2.43
2019-11-09 00:00:00+00:00,9213.0,8765.0,-4.86,1.43,-3.43,-1.0
2019-11-12 00:00:00+00:00,9038.5,8717.5,-3.55,2.34,-1.21,1.34
2019-11-14 00:00:00+00:00,8818.0,8764.0,-0.61,2.24,1.63,3.58
2019-11-15 00:00:00+00:00,8764.0,8630.5,-1.52,-2.19,-3.71,1.39
2019-11-16 00:00:00+00:00,8630.5,8456.0,-2.02,-2.24,-4.26,-0.85
2019-11-19 00:00:00+00:00,8506.0,8173.5,-3.91,-6.33,-10.24,-7.18
2019-11-20 00:00:00+00:00,8173.5,8123.0,-0.62,-0.97,-1.59,-8.15
2019-11-21 00:00:00+00:00,8123.0,8080.0,-0.53,-0.98,-1.51,-9.13
2019-11-22 00:00:00+00:00,8080.0,7614.0,-5.77,-1.97,-7.74,-11.1
2019-11-23 00:00:00+00:00,7614.0,7275.5,-4.45,-2.01,-6.46,-13.11
2019-11-25 00:00:00+00:00,7322.5,6902.5,-5.74,-2.96,-8.7,-16.07
2019-11-29 00:00:00+00:00,7525.0,7424.5,-1.34,-1.38,-2.72,-17.45
2019-12-01 00:00:00+00:00,7749.0,7549.5,-2.57,-0.96,-3.53,-18.41
2019-12-02 00:00:00+00:00,7549.5,7399.0,-1.99,4.83,2.84,-13.58
2019-12-03 00:00:00+00:00,7399.0,7300.5,-1.33,-2.76,-4.09,-16.34
2019-12-04 00:00:00+00:00,7300.5,7294.5,-0.08,-0.95,-1.03,-17.29
2019-12-05 00:00:00+00:00,7294.5,7192.5,-1.4,-5.74,-7.14,-23.03
2019-12-08 00:00:00+00:00,7538.5,7501.5,-0.49,0.0,-0.49,-23.03
2019-12-10 00:00:00+00:00,7512.5,7332.5,-2.4,0.51,-1.89,-22.52
2019-12-11 00:00:00+00:00,7332.5,7218.0,-1.56,-0.51,-2.07,-23.03
2019-12-12 00:00:00+00:00,7218.0,7196.5,-0.3,0.51,0.21,-22.52
2019-12-13 00:00:00+00:00,7196.5,7187.0,-0.13,-3.06,-3.19,-25.58
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,1.04,-1.47,-24.54
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-1.53,-4.83,-26.07
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-3.63,-7.43,-29.7
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,-2.19,-4.1,-31.89
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,2.15,1.5,-29.74
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,-5.05,-7.68,-34.79
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,-1.06,-1.92,-35.85
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-1.08,-1.83,-36.93
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,0.54,0.48,-36.39
