timestamp,open,close,xbtusd_daily_change,TRXM19_daily_btc,TRXM19_daily_usd,TRXM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.83,-1.43,-0.83
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.74,-3.24,-2.57
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,6.75,6.71,4.18
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-2.92,-3.25,1.26
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,-1.5,-3.09,-0.24
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-1.01,-1.42,-1.25
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,-0.37,-1.76,-1.62
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,-0.67,-2.59,-2.29
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-6.94,-12.26,-9.23
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,-0.56,-0.75,-9.79
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,0.0,-2.64,-9.79
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-3.82,-4.28,-13.61
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,-1.8,-3.42,-15.41
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,2.29,-3.6,-13.12
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-0.45,-0.6,-13.57
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-3.36,-3.6,-16.93
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,2.27,1.34,-14.66
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,3.46,2.92,-11.2
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,-2.81,-6.17,-14.01
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,-3.91,-7.8,-17.92
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,0.54,-6.21,-17.38
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-1.08,-2.35,-18.46
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,1.42,-0.98,-17.04
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,1.97,1.34,-15.07
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-4.41,-8.62,-19.48
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,-0.25,-0.92,-19.73
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,-1.73,-2.37,-21.46
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-4.27,-8.78,-25.73
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,-6.09,-13.39,-31.82
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,9.62,4.22,-22.2
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,-2.84,-3.72,-25.04
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,-4.87,-8.62,-29.91
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,-0.25,-1.48,-30.16
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,0.0,-2.8,-30.16
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,2.49,-11.23,-27.67
